timestamp,angle,curLapTime,damage,distFromStart,distRaced,fuel,gear,lastLapTime,racePos,rpm,speedX,speedY,speedZ,trackPos,z,track_data,opponents_data,wheelSpinVel_data
20250428_163131.202,0.00969284,-0.982,0.0,2032.56,0.0,94.0,0,0,1,942.478,-0.000612781,0.00284858,-0.000184746,0.333666,0.345609,4.99776|5.20369|5.8866|7.46181|11.9366|200.0|136.129|74.6482|51.6945|39.7687|32.5149|27.6773|24.0663|21.1567|16.9484|13.2321|11.2589|10.2851|10.0029,19.2262|38.0539|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|11.1645|200.0|200.0,0.0|0.0|0.0|0.0
20250428_163131.225,0.00969284,-0.962,0.0,2032.56,0.0,94.0,0,0,1,957.884,-0.000612781,0.00284858,-0.000184746,0.333666,0.345609,4.99776|5.20369|5.8866|7.46181|11.9366|200.0|136.129|74.6482|51.6945|39.7687|32.5149|27.6773|24.0663|21.1567|16.9484|13.2321|11.2589|10.2851|10.0029,19.2262|38.0539|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|11.1645|200.0|200.0,0.0|0.0|0.0|0.0
20250428_163131.244,0.00969284,-0.942,0.0,2032.56,0.0,94.0,0,0,1,988.894,-0.000612781,0.00284858,-0.000184746,0.333666,0.345609,4.99776|5.20369|5.8866|7.46181|11.9366|200.0|136.129|74.6482|51.6945|39.7687|32.5149|27.6773|24.0663|21.1567|16.9484|13.2321|11.2589|10.2851|10.0029,19.2262|38.0539|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|11.1645|200.0|200.0,0.0|0.0|0.0|0.0
20250428_163131.262,0.00969284,-0.922,0.0,2032.56,0.0,94.0,0,0,1,1036.0,-0.000612781,0.00284858,-0.000184746,0.333666,0.345609,4.99776|5.20369|5.8866|7.46181|11.9366|200.0|136.129|74.6482|51.6945|39.7687|32.5149|27.6773|24.0663|21.1567|16.9484|13.2321|11.2589|10.2851|10.0029,19.2262|38.0539|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|11.1645|200.0|200.0,0.0|0.0|0.0|0.0
20250428_163131.283,0.00969284,-0.902,0.0,2032.56,0.0,94.0,0,0,1,1099.77,-0.000612781,0.00284858,-0.000184746,0.333666,0.345609,4.99776|5.20369|5.8866|7.46181|11.9366|200.0|136.129|74.6482|51.6945|39.7687|32.5149|27.6773|24.0663|21.1567|16.9484|13.2321|11.2589|10.2851|10.0029,19.2262|38.0539|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|11.1645|200.0|200.0,0.0|0.0|0.0|0.0
20250428_163131.304,0.00969284,-0.882,0.0,2032.56,0.0,94.0,0,0,1,1180.5,-0.000612781,0.00284858,-0.000184746,0.333666,0.345609,4.99776|5.20369|5.8866|7.46181|11.9366|200.0|136.129|74.6482|51.6945|39.7687|32.5149|27.6773|24.0663|21.1567|16.9484|13.2321|11.2589|10.2851|10.0029,19.2262|38.0539|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|11.1645|200.0|200.0,0.0|0.0|0.0|0.0
20250428_163131.326,0.00969284,-0.862,0.0,2032.56,0.0,94.0,0,0,1,1278.9,-0.000612781,0.00284858,-0.000184746,0.333666,0.345609,4.99776|5.20369|5.8866|7.46181|11.9366|200.0|136.129|74.6482|51.6945|39.7687|32.5149|27.6773|24.0663|21.1567|16.9484|13.2321|11.2589|10.2851|10.0029,19.2262|38.0539|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|11.1645|200.0|200.0,0.0|0.0|0.0|0.0
20250428_163131.344,0.00969284,-0.842,0.0,2032.56,0.0,94.0,0,0,1,1395.92,-0.000612781,0.00284858,-0.000184746,0.333666,0.345609,4.99776|5.20369|5.8866|7.46181|11.9366|200.0|136.129|74.6482|51.6945|39.7687|32.5149|27.6773|24.0663|21.1567|16.9484|13.2321|11.2589|10.2851|10.0029,19.2262|38.0539|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|11.1645|200.0|200.0,0.0|0.0|0.0|0.0
20250428_163131.364,0.00969284,-0.822,0.0,2032.56,0.0,93.9999,0,0,1,1532.71,-0.000612781,0.00284858,-0.000184746,0.333666,0.345609,4.99776|5.20369|5.8866|7.46181|11.9366|200.0|136.129|74.6482|51.6945|39.7687|32.5149|27.6773|24.0663|21.1567|16.9484|13.2321|11.2589|10.2851|10.0029,19.2262|38.0539|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|11.1645|200.0|200.0,0.0|0.0|0.0|0.0
20250428_163131.382,0.00969284,-0.802,0.0,2032.56,0.0,93.9998,0,0,1,1690.65,-0.000612781,0.00284858,-0.000184746,0.333666,0.345609,4.99776|5.20369|5.8866|7.46181|11.9366|200.0|136.129|74.6482|51.6945|39.7687|32.5149|27.6773|24.0663|21.1567|16.9484|13.2321|11.2589|10.2851|10.0029,19.2262|38.0539|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|200.0|11.1645|200.0|200.0,0.0|0.0|0.0|0.0
