episode,total_reward,avg_reward,max_speed,distance_raced,damage
1,937.4302,937.4302,37.87,21.97,0.00
2,-123.2872,407.0715,38.46,22.19,0.00
3,-124.3152,229.9426,37.79,22.42,0.00
4,-124.0675,141.4401,38.02,22.64,0.00
5,-123.3151,88.4890,38.68,22.87,0.00
6,-123.0960,53.2249,39.20,23.10,0.00
7,-123.8184,27.9330,38.53,23.34,0.00
8,-123.6650,8.9832,38.79,23.56,0.00
9,-123.7454,-5.7644,39.10,23.80,0.00
10,-123.8085,-17.5688,39.23,24.03,0.00
11,-124.2464,-123.7365,39.32,24.27,0.00
12,-123.5348,-123.7612,39.60,24.51,0.00
13,-123.5889,-123.6886,39.97,24.75,0.00
14,-123.3107,-123.6129,40.30,24.99,0.00
15,-122.7631,-123.5577,40.83,25.38,0.00
16,-122.2052,-123.4686,41.54,25.63,0.00
17,-122.1098,-123.2978,41.72,25.88,0.00
18,-122.0056,-123.1318,42.00,26.13,0.00
19,-121.3347,-122.8908,42.43,26.38,0.00
20,-120.8542,-122.5953,42.73,26.64,0.00
21,-120.6422,-122.2349,43.03,26.89,0.00
22,-120.0260,-121.8840,43.31,27.15,0.00
23,-119.8859,-121.5137,43.61,27.41,0.00
24,-120.3845,-121.2211,43.68,27.67,0.00
25,-120.3654,-120.9813,43.64,27.93,0.00
26,-120.7344,-120.8343,43.49,28.19,0.00
27,-120.7277,-120.6961,43.64,28.45,0.00
28,-125.5721,-121.0527,41.98,28.71,0.00
29,-125.6450,-121.4837,41.99,28.97,0.00
30,-125.0498,-121.9033,42.32,29.23,0.00
31,-124.2387,-122.2629,42.43,29.49,0.00
32,-123.7799,-122.6383,42.49,29.76,0.00
33,-122.9299,-122.9427,42.58,30.02,0.00
34,-122.7791,-123.1822,42.57,30.28,0.00
35,-122.3816,-123.3838,42.53,30.54,0.00
36,-121.6893,-123.4793,42.50,30.79,0.00
37,-123.9910,-123.8056,41.97,31.05,0.00
38,-123.8785,-123.6363,42.00,31.31,0.00
39,-123.5390,-123.4257,42.17,31.57,0.00
40,-123.7970,-123.3004,42.26,31.83,0.00
41,-123.2230,-123.1988,42.25,32.09,0.00
