Race started at: 2025-05-02 20:09:10.102926
Track: forza
Stage: Unknown
Training: Enabled
--------------------------------------------------------------------------------
Connected to server at 2025-05-02 20:09:10.113933
Step 100: Speed=6.1, Pos=1, Damage=0.0, Time=1.0
Step 3800: Speed=0.3, Pos=4, Damage=164.0, Time=78.3
Step 3900: Speed=0.7, Pos=4, Damage=164.0, Time=80.5
Step 4000: Speed=0.1, Pos=4, Damage=164.0, Time=82.7
Step 4100: Speed=0.2, Pos=4, Damage=164.0, Time=84.9
Step 4200: Speed=0.3, Pos=4, Damage=164.0, Time=87.1
Step 4300: Speed=0.6, Pos=4, Damage=164.0, Time=89.3
Step 4400: Speed=0.2, Pos=4, Damage=164.0, Time=91.5
Step 4500: Speed=0.2, Pos=4, Damage=164.0, Time=93.7
Step 4600: Speed=0.3, Pos=4, Damage=164.0, Time=95.9
Step 4700: Speed=0.7, Pos=4, Damage=164.0, Time=98.1
Step 4800: Speed=0.5, Pos=4, Damage=164.0, Time=100.3
Step 4900: Speed=0.2, Pos=4, Damage=164.0, Time=102.5
Step 5000: Speed=0.2, Pos=4, Damage=164.0, Time=104.7
Step 5100: Speed=0.6, Pos=4, Damage=164.0, Time=106.9
Step 5200: Speed=0.2, Pos=4, Damage=164.0, Time=109.1
Step 5300: Speed=-0.1, Pos=4, Damage=164.0, Time=111.3
Step 5400: Speed=0.1, Pos=4, Damage=164.0, Time=113.5
Step 5500: Speed=0.3, Pos=4, Damage=164.0, Time=115.7
Step 5600: Speed=0.4, Pos=4, Damage=164.0, Time=117.9
Step 5700: Speed=0.1, Pos=4, Damage=164.0, Time=120.1
Step 5800: Speed=0.0, Pos=4, Damage=164.0, Time=122.3
Step 5900: Speed=0.3, Pos=4, Damage=164.0, Time=124.5
Step 6000: Speed=0.6, Pos=4, Damage=164.0, Time=126.7
Step 6100: Speed=-0.0, Pos=4, Damage=164.0, Time=128.8
Step 6200: Speed=0.2, Pos=4, Damage=164.0, Time=130.8
Step 6300: Speed=0.3, Pos=4, Damage=164.0, Time=132.8
Step 6400: Speed=0.5, Pos=4, Damage=164.0, Time=134.8
Step 6500: Speed=0.1, Pos=4, Damage=164.0, Time=136.8
Step 6600: Speed=0.1, Pos=4, Damage=164.0, Time=138.8
Step 6700: Speed=0.2, Pos=4, Damage=164.0, Time=140.8
Step 6800: Speed=0.1, Pos=4, Damage=164.0, Time=142.8
Step 6900: Speed=0.1, Pos=4, Damage=164.0, Time=144.8
Step 7000: Speed=0.3, Pos=4, Damage=164.0, Time=146.8
Step 7100: Speed=0.7, Pos=4, Damage=164.0, Time=148.8
Step 7200: Speed=0.5, Pos=4, Damage=164.0, Time=150.8
Step 7300: Speed=0.1, Pos=4, Damage=164.0, Time=152.8
Step 7400: Speed=0.7, Pos=4, Damage=164.0, Time=154.8
Step 7500: Speed=0.4, Pos=4, Damage=164.0, Time=156.8
Step 7600: Speed=0.3, Pos=4, Damage=164.0, Time=158.8
Step 7700: Speed=0.7, Pos=4, Damage=164.0, Time=160.8
Step 7800: Speed=0.0, Pos=4, Damage=164.0, Time=162.8
Step 7900: Speed=0.5, Pos=4, Damage=164.0, Time=164.8
Step 8000: Speed=0.0, Pos=4, Damage=164.0, Time=166.8
Step 8100: Speed=0.9, Pos=4, Damage=164.0, Time=168.8
Step 8200: Speed=0.4, Pos=4, Damage=164.0, Time=170.8
Step 8300: Speed=0.7, Pos=4, Damage=164.0, Time=172.8
Step 8400: Speed=0.7, Pos=4, Damage=164.0, Time=174.8
Step 8500: Speed=0.3, Pos=4, Damage=164.0, Time=176.8
Step 8600: Speed=0.7, Pos=4, Damage=164.0, Time=178.8
Step 8700: Speed=0.2, Pos=4, Damage=164.0, Time=180.8
Step 8800: Speed=0.7, Pos=4, Damage=164.0, Time=182.8
Step 8900: Speed=0.1, Pos=4, Damage=164.0, Time=184.8
Step 9000: Speed=0.7, Pos=4, Damage=164.0, Time=186.8
Step 9100: Speed=0.6, Pos=4, Damage=164.0, Time=188.8
Step 9200: Speed=0.3, Pos=4, Damage=164.0, Time=190.8
Step 9300: Speed=0.8, Pos=4, Damage=164.0, Time=192.8
Step 9400: Speed=0.1, Pos=4, Damage=164.0, Time=194.8
Step 9500: Speed=0.6, Pos=4, Damage=164.0, Time=196.8
Step 9600: Speed=0.2, Pos=4, Damage=164.0, Time=198.8
Step 9700: Speed=0.7, Pos=4, Damage=164.0, Time=200.8
Step 9800: Speed=0.4, Pos=4, Damage=164.0, Time=202.8
Step 9900: Speed=0.6, Pos=4, Damage=164.0, Time=204.8
Step 10000: Speed=0.7, Pos=4, Damage=164.0, Time=206.8
Step 10100: Speed=0.2, Pos=4, Damage=164.0, Time=208.8
Step 10200: Speed=0.7, Pos=4, Damage=164.0, Time=210.8
Step 10300: Speed=0.1, Pos=4, Damage=164.0, Time=212.8
Step 10400: Speed=0.5, Pos=4, Damage=164.0, Time=214.8
Step 10500: Speed=0.3, Pos=4, Damage=164.0, Time=216.8
Step 10600: Speed=0.8, Pos=4, Damage=164.0, Time=218.8
Step 10700: Speed=0.6, Pos=4, Damage=164.0, Time=220.8
Step 10800: Speed=0.3, Pos=4, Damage=164.0, Time=222.8
Step 10900: Speed=0.6, Pos=4, Damage=164.0, Time=224.8
Step 11000: Speed=0.2, Pos=4, Damage=164.0, Time=226.8
Step 11100: Speed=0.8, Pos=4, Damage=164.0, Time=228.8
Step 11200: Speed=0.1, Pos=4, Damage=164.0, Time=230.8
Step 11300: Speed=0.8, Pos=4, Damage=164.0, Time=232.8
Step 11400: Speed=0.5, Pos=4, Damage=164.0, Time=234.8
Step 11500: Speed=0.3, Pos=4, Damage=164.0, Time=236.8
Step 11600: Speed=0.8, Pos=4, Damage=164.0, Time=238.8
Step 11700: Speed=0.2, Pos=4, Damage=164.0, Time=240.8
Step 11800: Speed=0.7, Pos=4, Damage=164.0, Time=242.8
Step 11900: Speed=0.2, Pos=4, Damage=164.0, Time=244.8
Step 12000: Speed=0.8, Pos=4, Damage=164.0, Time=246.8
Step 12100: Speed=0.3, Pos=4, Damage=164.0, Time=248.8
Step 12200: Speed=0.5, Pos=4, Damage=164.0, Time=250.8
Step 12300: Speed=0.6, Pos=4, Damage=164.0, Time=252.8
Step 12400: Speed=0.3, Pos=4, Damage=164.0, Time=254.8
Step 12500: Speed=0.7, Pos=4, Damage=164.0, Time=256.8
Step 12600: Speed=0.2, Pos=4, Damage=164.0, Time=258.8
Step 12700: Speed=0.7, Pos=4, Damage=164.0, Time=260.8
Step 12800: Speed=0.2, Pos=4, Damage=164.0, Time=262.8
Step 12900: Speed=0.6, Pos=4, Damage=164.0, Time=264.8
Step 13000: Speed=0.5, Pos=4, Damage=164.0, Time=266.8
Step 13100: Speed=0.2, Pos=4, Damage=164.0, Time=268.8
Step 13200: Speed=0.7, Pos=4, Damage=164.0, Time=270.8
Step 13300: Speed=0.2, Pos=4, Damage=164.0, Time=272.8
Step 13400: Speed=0.8, Pos=4, Damage=164.0, Time=274.8
Step 13500: Speed=0.1, Pos=4, Damage=164.0, Time=276.8
Step 13600: Speed=0.8, Pos=4, Damage=164.0, Time=278.8
Step 13700: Speed=0.5, Pos=4, Damage=164.0, Time=280.8
Step 13800: Speed=0.6, Pos=4, Damage=164.0, Time=282.8
Step 13900: Speed=0.6, Pos=4, Damage=164.0, Time=284.8
Step 14000: Speed=0.1, Pos=4, Damage=164.0, Time=286.8
Step 14100: Speed=0.7, Pos=4, Damage=164.0, Time=288.8
Step 14200: Speed=0.2, Pos=4, Damage=164.0, Time=290.8
Step 14300: Speed=0.7, Pos=4, Damage=164.0, Time=292.8
Step 14400: Speed=0.3, Pos=4, Damage=164.0, Time=294.8
Step 14500: Speed=0.8, Pos=4, Damage=164.0, Time=296.8
