episode,total_reward,avg_reward,max_speed,distance_raced,damage
1,5406.3101,5406.3101,63.78,47.26,0.00
2,-99.4518,2653.4292,64.06,47.61,0.00
3,-99.1156,1735.9142,64.43,47.97,0.00
4,-98.9410,1277.2004,64.73,48.33,0.00
5,-99.2384,1001.9127,65.01,48.70,0.00
6,-98.8094,818.4590,65.21,49.07,0.00
7,-98.4041,687.4785,65.17,49.44,0.00
8,-99.1642,589.1482,65.10,49.81,0.00
9,-99.4628,512.6359,65.41,50.17,0.00
10,-99.1787,451.4544,65.99,50.54,0.00
11,-98.5608,-99.0327,66.57,50.92,0.00
12,-98.9731,-98.9848,66.83,51.29,0.00
13,-98.8153,-98.9548,67.07,51.67,0.00
14,-98.7064,-98.9313,67.43,52.06,0.00
15,-99.0298,-98.9105,67.62,52.45,0.00
16,-98.7277,-98.9023,67.82,52.84,0.00
17,-98.4456,-98.9064,68.30,53.23,0.00
18,-98.1376,-98.8038,68.79,53.63,0.00
19,-98.5224,-98.7097,68.77,54.03,0.00
20,-99.0403,-98.6959,67.95,54.43,0.00
21,-99.5908,-98.7989,67.56,54.83,0.00
22,-98.9177,-98.7934,67.87,55.22,0.00
23,-99.1128,-98.8231,68.36,55.63,0.00
24,-99.0234,-98.8548,68.56,56.03,0.00
25,-98.8031,-98.8321,68.75,56.44,0.00
26,-98.5917,-98.8185,69.04,56.85,0.00
27,-99.0066,-98.8746,68.92,57.26,0.00
28,-99.2347,-98.9844,69.05,57.67,0.00
29,-98.6618,-98.9983,69.58,58.08,0.00
30,-98.0353,-98.8978,70.02,58.50,0.00
31,-97.9616,-98.7349,70.25,58.93,0.00
32,-97.7489,-98.6180,70.54,59.35,0.00
33,-97.3643,-98.4431,70.99,59.78,0.00
34,-97.5344,-98.2942,70.92,60.20,0.00
35,-97.7744,-98.1914,71.23,60.63,0.00
36,-97.4836,-98.0806,71.35,61.06,0.00
37,-96.9722,-97.8771,71.54,61.50,0.00
38,-97.3072,-97.6844,71.65,61.93,0.00
39,-97.1993,-97.5381,71.74,62.37,0.00
40,-97.3708,-97.4717,71.72,62.80,0.00
41,-97.1008,-97.3856,72.03,63.24,0.00
42,-96.6385,-97.2745,72.49,63.68,0.00
43,-95.9936,-97.1375,72.92,64.12,0.00
44,-96.1773,-97.0018,72.92,64.57,0.00
45,-96.1031,-96.8346,73.25,65.01,0.00
46,-95.9834,-96.6846,73.65,65.46,0.00
47,-95.4467,-96.5321,74.15,65.91,0.00
48,-94.5085,-96.2522,74.66,66.36,0.00
49,-94.3984,-95.9721,75.03,66.81,0.00
50,-94.6155,-95.6966,75.15,67.27,0.00
51,-94.9664,-95.4831,74.82,67.73,0.00
52,-94.4173,-95.2610,75.15,68.18,0.00
53,-95.1292,-95.1746,74.56,68.64,0.00
54,-95.3583,-95.0927,74.33,69.09,0.00
55,-95.2399,-95.0064,74.65,69.55,0.00
56,-95.5218,-94.9602,74.77,70.00,0.00
57,-95.3545,-94.9510,74.78,70.46,0.00
58,-95.1216,-95.0123,75.15,70.92,0.00
59,-94.8304,-95.0555,75.13,71.38,0.00
60,-94.4366,-95.0376,75.14,71.79,0.00
61,-93.9623,-94.9372,75.48,72.21,0.00
62,-93.7673,-94.8722,75.81,72.63,0.00
63,-93.5958,-94.7188,76.09,73.05,0.00
64,-93.1288,-94.4959,76.28,73.48,0.00
65,-93.0336,-94.2753,76.51,73.90,0.00
66,-94.0263,-94.1257,75.59,74.33,0.00
67,-94.4678,-94.0370,75.18,74.74,0.00
68,-94.9752,-94.0224,75.11,75.16,0.00
69,-96.0374,-94.1431,74.09,75.58,0.00
70,-95.7776,-94.2772,73.91,75.99,0.00
71,-95.3575,-94.4167,74.31,76.40,0.00
72,-95.2401,-94.5640,74.41,76.81,0.00
73,-94.9818,-94.7026,74.71,77.22,0.00
74,-94.7993,-94.8696,75.13,77.64,0.00
75,-94.0326,-94.9696,75.58,78.06,0.00
76,-93.6577,-94.9327,76.06,78.48,0.00
77,-93.2960,-94.8155,76.26,78.90,0.00
78,-93.6582,-94.6838,76.20,79.33,0.00
79,-93.3503,-94.4151,76.29,79.75,0.00
80,-92.9015,-94.1275,76.48,80.17,0.00
81,-92.5683,-93.8486,76.54,80.60,0.00
82,-92.6169,-93.5863,76.86,81.02,0.00
83,-92.0828,-93.2964,77.27,81.45,0.00
84,-92.3425,-93.0507,77.22,81.88,0.00
85,-92.2860,-92.8760,77.28,82.31,0.00
86,-91.8513,-92.6954,77.67,82.74,0.00
87,-91.2838,-92.4942,78.08,83.17,0.00
88,-90.7610,-92.2044,78.51,83.61,0.00
89,-91.0014,-91.9695,78.59,84.04,0.00
90,-90.8328,-91.7627,78.89,84.48,0.00
91,-89.7850,-91.4843,79.25,84.92,0.00
92,-89.4150,-91.1641,79.66,85.36,0.00
93,-89.4865,-90.9045,79.73,85.80,0.00
94,-89.1787,-90.5881,80.09,86.24,0.00
95,-88.6773,-90.2273,80.56,86.69,0.00
96,-88.1318,-89.8553,80.90,87.14,0.00
97,-87.4532,-89.4722,81.41,87.59,0.00
98,-87.0800,-89.1042,81.77,88.04,0.00
99,-86.8937,-88.6934,82.15,88.50,0.00
100,-86.5238,-88.2625,82.57,88.95,0.00
101,-86.2183,-87.9058,82.73,89.41,0.00
102,-86.3868,-87.6030,82.66,89.87,0.00
103,-85.7709,-87.2315,82.91,90.33,0.00
104,-85.1968,-86.8333,83.40,90.79,0.00
105,-84.7603,-86.4416,83.89,91.25,0.00
106,-84.4428,-86.0727,83.97,91.72,0.00
107,-84.2051,-85.7479,84.29,92.19,0.00
108,-84.2103,-85.4609,84.62,92.65,0.00
109,-84.1406,-85.1856,84.31,93.12,0.00
110,-84.1964,-84.9528,84.39,93.59,0.00
111,-83.4499,-84.6760,84.78,94.05,0.00
112,-83.3219,-84.3695,85.02,94.52,0.00
113,-83.1506,-84.1075,85.30,94.99,0.00
114,-82.9854,-83.8863,85.50,95.46,0.00
115,-82.5606,-83.6664,85.56,95.92,0.00
116,-82.6302,-83.4851,85.57,96.39,0.00
117,-82.8378,-83.3484,85.46,96.86,0.00
118,-82.9179,-83.2191,85.48,97.32,0.00
119,-83.1540,-83.1205,85.57,97.79,0.00
120,-82.6501,-82.9658,85.90,98.25,0.00
121,-81.3795,-82.7588,86.43,98.72,0.00
122,-80.9035,-82.5170,86.67,99.19,0.00
123,-80.2253,-82.2244,86.75,99.67,0.00
124,-79.8206,-81.9080,87.10,100.14,0.00
125,-79.7353,-81.6254,87.13,100.61,0.00
126,-79.2569,-81.2881,87.27,101.08,0.00
127,-78.7047,-80.8748,87.66,101.56,0.00
128,-78.2419,-80.4072,87.67,102.03,0.00
129,-78.1844,-79.9102,87.64,102.51,0.00
130,-77.6050,-79.4057,87.97,102.98,0.00
131,-76.8828,-78.9560,88.50,103.46,0.00
132,-76.9287,-78.5586,88.58,103.94,0.00
133,-76.4031,-78.1764,88.72,104.41,0.00
134,-75.8434,-77.7786,88.91,104.89,0.00
135,-76.1807,-77.4232,88.76,105.36,0.00
136,-75.7993,-77.0774,88.67,105.84,0.00
137,-76.1957,-76.8265,88.79,106.31,0.00
138,-75.6503,-76.5673,89.20,106.79,0.00
139,-74.5318,-76.2021,89.77,107.27,0.00
140,-74.1132,-75.8529,89.81,107.75,0.00
141,-73.6629,-75.5309,90.03,108.23,0.00
142,-72.5640,-75.0944,90.46,108.72,0.00
143,-72.2222,-74.6764,90.30,109.21,0.00
144,-71.8324,-74.2753,90.52,109.70,0.00
