episode,total_reward,avg_reward,max_speed,distance_raced,damage
1,1722979.3750,1722979.3750,81.26,100.19,0.00
2,7215.9849,865097.6875,80.29,100.67,0.00
3,7087.8936,579094.4375,80.25,101.16,0.00
4,6962.5542,436061.4375,80.24,101.64,0.00
5,6834.9043,350216.1250,80.21,102.12,0.00
6,6706.5806,292964.5312,80.16,102.60,0.00
7,6579.0229,252052.3281,80.12,103.08,0.00
8,6451.5918,221352.2344,80.09,103.56,0.00
9,6324.1758,197460.2188,80.05,104.05,0.00
10,6195.4814,178333.7500,79.99,104.53,0.00
11,6067.7578,6642.5947,79.95,105.01,0.00
12,5939.2412,6514.9204,79.89,105.49,0.00
13,5810.2236,6387.1533,79.82,105.97,0.00
14,5682.5371,6259.1514,79.77,106.44,0.00
15,5555.0020,6131.1611,79.71,106.92,0.00
16,5425.5605,6003.0596,79.63,107.40,0.00
17,5296.4438,5874.8018,79.55,107.88,0.00
18,5174.0107,5747.0435,79.56,108.36,0.00
19,5046.1826,5619.2446,79.49,108.83,0.00
20,4918.8594,5491.5820,79.43,109.31,0.00
21,4791.0771,5363.9141,79.36,109.79,0.00
22,4663.4238,5236.3320,79.28,110.27,0.00
23,4536.5469,5108.9648,79.22,110.74,0.00
24,4410.2695,4981.7378,79.15,111.22,0.00
25,4286.6919,4854.9062,79.14,111.69,0.00
26,4160.6577,4728.4165,79.07,112.17,0.00
27,4034.4771,4602.2192,79.01,112.64,0.00
28,3908.6245,4475.6807,78.94,113.11,0.00
29,3782.9673,4349.3599,78.87,113.59,0.00
30,3657.4570,4223.2192,78.80,114.06,0.00
31,3654.1692,4109.5283,78.74,114.53,0.00
32,3662.3230,4009.4185,78.90,115.01,0.00
33,3665.4160,3922.3054,78.96,115.48,0.00
34,3662.1794,3847.4961,78.90,115.96,0.00
35,3659.1213,3784.7390,78.84,116.43,0.00
36,3655.8564,3734.2590,78.77,116.91,0.00
37,3652.7739,3696.0886,78.71,117.38,0.00
38,3649.1021,3670.1362,78.64,117.85,0.00
39,3645.7532,3656.4153,78.57,118.33,0.00
40,3642.8240,3654.9519,78.51,118.80,0.00
41,3639.3025,3653.4648,78.44,119.27,0.00
42,3635.6443,3650.7974,78.37,119.75,0.00
43,3632.5413,3647.5103,78.31,120.22,0.00
44,3629.4988,3644.2422,78.25,120.69,0.00
45,3626.4683,3640.9766,78.18,121.16,0.00
46,3622.6782,3637.6587,78.11,121.63,0.00
47,3621.1970,3634.5007,78.08,122.10,0.00
48,3617.4966,3631.3406,78.01,122.57,0.00
49,3613.7783,3628.1431,77.93,123.04,0.00
50,3610.2522,3624.8860,77.86,123.51,0.00
51,3606.7080,3621.6262,77.79,123.98,0.00
52,3602.3694,3618.2988,77.71,124.45,0.00
53,3599.2646,3614.9712,77.64,124.92,0.00
54,3597.0818,3611.7292,77.60,125.39,0.00
55,3593.8086,3608.4634,77.53,125.82,0.00
56,3590.3147,3605.2273,77.46,126.25,0.00
57,3586.8367,3601.7915,77.40,126.67,0.00
58,3583.2803,3598.3691,77.32,127.10,0.00
59,3580.3652,3595.0281,77.27,127.52,0.00
60,3577.4138,3591.7441,77.21,127.94,0.00
61,3573.4373,3588.4172,77.13,128.37,0.00
62,3570.7637,3585.2566,77.07,128.79,0.00
63,3567.9382,3582.1243,77.02,129.22,0.00
64,3565.1086,3578.9265,76.96,129.64,0.00
65,3562.3289,3575.7788,76.91,130.06,0.00
66,3559.4885,3572.6960,76.85,130.49,0.00
67,3555.6421,3569.5767,76.77,130.91,0.00
68,3552.4663,3566.4954,76.71,131.33,0.00
69,3547.7244,3563.2312,76.62,131.75,0.00
70,3544.6147,3559.9512,76.55,132.17,0.00
71,3541.3333,3556.7410,76.49,132.59,0.00
72,3538.0647,3553.4712,76.42,133.01,0.00
73,3534.6543,3550.1431,76.35,133.44,0.00
74,3531.5923,3546.7910,76.29,133.86,0.00
75,3528.6597,3543.4243,76.23,134.28,0.00
76,3525.7920,3540.0542,76.18,134.69,0.00
77,3526.1890,3537.1089,76.19,135.12,0.00
78,3523.1169,3534.1738,76.12,135.53,0.00
79,3519.9775,3531.3997,76.06,135.95,0.00
80,3516.9607,3528.6343,76.00,136.37,0.00
81,3514.2192,3525.9226,75.95,136.79,0.00
82,3511.4014,3523.2563,75.89,137.21,0.00
83,3508.6892,3520.6597,75.84,137.63,0.00
84,3504.5488,3517.9556,75.75,138.04,0.00
85,3501.2085,3515.2102,75.69,138.46,0.00
86,3498.2185,3512.4526,75.63,138.88,0.00
87,3495.5908,3509.3933,75.58,139.29,0.00
88,3492.5017,3506.3315,75.51,139.71,0.00
89,3489.8618,3503.3203,75.46,140.13,0.00
90,3487.1687,3500.3406,75.41,140.54,0.00
91,3483.7903,3497.2976,75.34,140.96,0.00
92,3479.8035,3494.1382,75.26,141.37,0.00
93,3425.5349,3485.8228,74.17,141.78,0.00
94,3390.3342,3474.4011,73.47,142.19,0.00
95,3368.8909,3461.1694,73.04,142.59,0.00
96,3359.9580,3447.3433,72.87,143.00,0.00
97,3357.3308,3433.5176,72.81,143.40,0.00
98,3353.7698,3419.6440,72.74,143.80,0.00
99,3347.4985,3405.4077,72.62,144.20,0.00
100,3343.2231,3391.0132,72.53,144.60,0.00
101,3296.2009,3372.2544,71.59,145.00,0.00
102,3275.0730,3351.7812,71.17,145.40,0.00
103,3218.0234,3331.0305,70.02,145.79,0.00
104,3187.4824,3310.7449,69.41,146.18,0.00
105,3172.4551,3291.1016,69.11,146.56,0.00
106,3162.7048,3271.3762,68.92,146.94,0.00
107,3157.4165,3251.3848,68.81,147.32,0.00
108,3154.6467,3231.4724,68.76,147.70,0.00
109,3152.0793,3211.9304,68.71,148.08,0.00
110,3096.8911,3187.2974,67.60,148.46,0.00
111,3062.3599,3163.9133,66.91,148.83,0.00
112,3005.8821,3136.9941,65.78,149.20,0.00
113,2930.8408,3108.2759,64.28,149.56,0.00
114,2893.9980,3078.9275,63.55,149.91,0.00
115,2888.8706,3050.5688,63.44,150.26,0.00
116,2885.6917,3022.8677,63.38,150.61,0.00
117,2882.3721,2995.3633,63.31,150.96,0.00
118,2878.8625,2967.7847,63.24,151.31,0.00
119,2872.0823,2939.7852,63.11,151.66,0.00
120,2868.3005,2916.9263,63.03,152.01,0.00
121,2865.5442,2897.2446,62.98,152.36,0.00
122,2863.1641,2882.9727,62.93,152.71,0.00
123,2860.1262,2875.9014,62.87,153.06,0.00
124,2856.0920,2872.1108,62.79,153.40,0.00
125,2853.2710,2868.5508,62.73,153.75,0.00
126,2848.6807,2864.8496,62.64,154.10,0.00
127,2844.7029,2861.0828,62.56,154.44,0.00
128,2838.6855,2857.0649,62.44,154.79,0.00
129,2830.9751,2852.9543,62.29,155.14,0.00
130,2773.4543,2843.4697,61.14,155.48,0.00
131,2698.1287,2826.7280,59.63,155.81,0.00
132,2656.3877,2806.0503,58.79,156.14,0.00
133,2653.6055,2785.3984,58.74,156.47,0.00
134,2650.6902,2764.8579,58.68,156.79,0.00
135,2592.6519,2738.7964,57.52,157.12,0.00
136,2562.5125,2710.1792,56.92,157.43,0.00
137,2559.5024,2681.6594,56.86,157.75,0.00
138,2498.0027,2647.5911,55.63,158.06,0.00
139,2457.6021,2610.2534,54.82,158.37,0.00
140,2399.2620,2572.8345,53.65,158.67,0.00
141,2370.3889,2540.0605,53.07,158.97,0.00
142,2310.2393,2505.4458,51.87,159.26,0.00
143,2282.3079,2468.3159,51.31,159.54,0.00
144,2280.5371,2431.3005,51.28,159.83,0.00
145,2277.5603,2399.7915,51.22,160.11,0.00
146,2274.0156,2370.9419,51.15,160.40,0.00
147,2217.7979,2336.7715,50.02,160.68,0.00
148,2143.1179,2301.2827,48.53,160.95,0.00
149,2063.9592,2261.9185,46.95,161.22,0.00
150,1989.1294,2220.9053,45.45,161.47,0.00
151,1959.1592,2179.7825,44.85,161.72,0.00
152,1895.3103,2138.2896,43.57,161.97,0.00
153,1860.2502,2096.0837,42.87,162.21,0.00
154,1798.5110,2047.8811,41.64,162.44,0.00
155,1771.5073,1997.2760,41.10,162.67,0.00
156,1769.1768,1946.7917,41.05,162.90,0.00
157,1767.2938,1901.7415,41.01,163.13,0.00
158,1764.4181,1863.8715,40.95,163.35,0.00
159,1707.4412,1828.2197,39.82,163.58,0.00
160,1676.1885,1796.9258,39.19,163.80,0.00
161,1622.4979,1763.2595,38.12,164.01,0.00
162,1550.8827,1728.8168,36.68,164.22,0.00
163,1521.5293,1694.9447,36.10,164.42,0.00
164,1461.5941,1661.2529,34.90,164.62,0.00
165,1438.3350,1627.9358,34.43,164.81,0.00
166,1436.4935,1594.6674,34.40,165.00,0.00
167,1374.4764,1555.3856,33.16,165.19,0.00
168,1298.6713,1508.8109,31.64,165.37,0.00
169,1265.0717,1464.5740,30.97,165.54,0.00
170,1261.7988,1423.1350,30.90,165.71,0.00
171,1196.1378,1380.4990,29.59,165.88,0.00
172,1120.4045,1337.4512,28.07,166.04,0.00
173,1088.1735,1294.1157,27.43,166.19,0.00
174,1024.0718,1250.3635,26.15,166.34,0.00
175,945.6498,1201.0948,24.58,166.48,0.00
176,914.0940,1148.8550,23.95,166.62,0.00
177,914.6517,1102.8723,23.96,166.75,0.00
178,853.6156,1058.3669,22.74,166.88,0.00
179,777.2318,1009.5828,21.21,167.00,0.00
180,746.2892,958.0319,20.59,167.12,0.00
181,741.8606,912.6043,20.50,167.23,0.00
182,741.2324,874.6870,20.49,167.35,0.00
183,738.7805,839.7477,20.44,167.46,0.00
184,677.1289,805.0534,19.21,167.57,0.00
185,648.6948,775.3580,18.64,167.67,0.00
186,582.7385,742.2223,17.32,167.77,0.00
187,503.7735,701.1346,15.74,167.87,0.00
188,477.3400,663.5070,15.21,167.95,0.00
189,478.5973,633.6435,15.24,168.03,0.00
190,409.8473,599.9993,13.86,168.12,0.00
191,388.5716,564.6705,13.44,168.19,0.00
192,388.1318,529.3605,13.43,168.27,0.00
193,354.5073,490.9331,12.76,168.34,0.00
194,350.8907,458.3092,12.68,168.41,0.00
195,347.1740,428.1572,12.61,168.48,0.00
196,346.5240,404.5358,12.60,168.55,0.00
197,287.8305,382.9415,11.42,168.62,0.00
198,265.9226,361.7997,10.98,168.68,0.00
199,268.1250,340.7525,11.03,168.74,0.00
200,271.1615,326.8839,11.09,168.80,0.00
201,201.4312,308.1699,9.69,168.86,0.00
202,188.1280,288.1695,9.43,168.91,0.00
203,180.4395,270.7627,9.28,168.96,0.00
204,125.8028,248.2539,8.18,169.01,0.00
205,114.7329,225.0098,7.96,169.06,0.00
206,106.9377,201.0512,7.81,169.10,0.00
207,112.6335,183.5315,7.92,169.14,0.00
208,46.6853,161.6078,6.60,169.18,0.00
209,-31.6987,131.6254,5.03,169.22,0.00
210,-114.8147,93.0278,3.37,169.24,0.00
211,-199.4922,52.9354,1.68,169.25,0.00
212,-210.4183,13.0808,1.46,169.26,0.00
213,-203.0858,-25.2717,1.60,169.27,0.00
214,-271.5694,-65.0090,0.23,169.27,0.00
215,-283.3084,-104.8131,0.00,169.27,0.00
216,-278.6916,-143.3760,0.09,169.27,0.00
217,-283.0312,-182.9425,0.00,169.27,0.00
218,-278.2254,-215.4336,0.10,169.27,0.00
219,-283.2685,-240.5905,0.00,169.28,0.00
220,-276.1511,-256.7242,0.14,169.28,0.00
221,-283.3058,-265.1056,0.00,169.28,0.00
222,-280.7042,-272.1342,0.05,169.27,0.00
223,-283.2697,-280.1525,0.00,169.27,0.00
224,-278.5995,-280.8556,0.09,169.27,0.00
225,-283.2695,-280.8517,0.00,169.28,0.00
226,-277.2792,-280.7104,0.12,169.28,0.00
227,-283.2848,-280.7358,0.00,169.28,0.00
228,-280.3429,-280.9475,0.06,169.28,0.00
229,-281.1239,-280.7331,0.04,169.28,0.00
230,-283.2966,-281.4476,0.00,169.28,0.00
231,-279.2031,-281.0373,0.08,169.28,0.00
232,-280.0927,-280.9762,0.06,169.28,0.00
233,-281.5739,-280.8066,0.03,169.28,0.00
234,-281.8260,-281.1293,0.03,169.28,0.00
235,-282.3427,-281.0366,0.02,169.28,0.00
236,-283.2726,-281.6359,0.00,169.28,0.00
237,-283.2973,-281.6371,0.00,169.28,0.00
238,-283.2778,-281.9307,0.00,169.28,0.00
239,-283.2935,-282.1476,0.00,169.28,0.00
240,-283.3079,-282.1487,0.00,169.28,0.00
241,-283.2693,-282.5554,0.00,169.28,0.00
242,-283.2859,-282.8747,0.00,169.28,0.00
243,-282.6412,-282.9814,0.01,169.28,0.00
244,-282.2037,-283.0192,0.02,169.28,0.00
245,-282.4573,-283.0306,0.02,169.28,0.00
246,-282.9348,-282.9969,0.01,169.28,0.00
247,-283.2245,-282.9896,0.00,169.28,0.00
248,-283.1834,-282.9802,0.00,169.28,0.00
249,-283.2786,-282.9787,0.00,169.28,0.00
250,-283.2716,-282.9751,0.00,169.28,0.00
251,-283.2787,-282.9760,0.00,169.28,0.00
252,-283.2871,-282.9761,0.00,169.28,0.00
253,-283.2943,-283.0414,0.00,169.28,0.00
254,-283.2781,-283.1489,0.00,169.28,0.00
255,-265.7263,-281.4757,0.35,169.28,0.00
256,-283.2757,-281.5098,0.00,169.28,0.00
257,-275.7131,-280.7587,0.15,169.28,0.00
258,-281.2129,-280.5616,0.04,169.28,0.00
259,-279.2745,-280.1612,0.08,169.28,0.00
260,-265.1218,-278.3463,0.36,169.28,0.00
261,-280.3722,-278.0556,0.06,169.28,0.00
262,-281.8219,-277.9091,0.03,169.28,0.00
263,-277.6038,-277.3400,0.11,169.28,0.00
264,-280.6385,-277.0760,0.05,169.28,0.00
265,-283.2866,-278.8321,0.00,169.28,0.00
266,-270.2512,-277.5296,0.26,169.28,0.00
267,-283.2762,-278.2859,0.00,169.28,0.00
268,-277.4255,-277.9072,0.12,169.28,0.00
269,-269.9619,-276.9760,0.27,169.28,0.00
270,-283.2945,-278.7932,0.00,169.28,0.00
271,-269.1333,-277.6694,0.28,169.28,0.00
272,-270.4116,-276.5283,0.26,169.28,0.00
273,-269.6313,-275.7311,0.27,169.29,0.00
274,-259.8329,-273.6505,0.47,169.29,0.00
275,-283.2971,-273.6516,0.00,169.29,0.00
276,-283.2810,-274.9546,0.00,169.29,0.00
277,-283.3082,-274.9577,0.00,169.29,0.00
278,-283.2891,-275.5441,0.00,169.29,0.00
279,-277.0925,-276.2571,0.12,169.29,0.00
280,-283.0186,-276.2296,0.01,169.29,0.00
281,-273.1142,-276.6276,0.20,169.29,0.00
282,-274.6544,-277.0519,0.17,169.29,0.00
283,-263.3369,-276.4225,0.40,169.29,0.00
284,-277.9442,-278.2336,0.11,169.29,0.00
285,-264.1634,-276.3202,0.38,169.30,0.00
286,-250.3351,-273.0256,0.66,169.30,0.00
287,-280.7330,-272.7681,0.05,169.30,0.00
288,-282.3245,-272.6717,0.02,169.30,0.00
289,-282.9532,-273.2578,0.01,169.30,0.00
290,-269.1271,-271.8686,0.28,169.30,0.00
291,-283.2953,-272.8867,0.00,169.30,0.00
292,-283.2662,-273.7479,0.00,169.30,0.00
293,-283.2825,-275.7424,0.00,169.30,0.00
294,-269.5225,-274.9003,0.28,169.30,0.00
