episode,total_reward,avg_reward,max_speed,distance_raced,damage
1,11237.3750,11237.3750,68.79,82.46,0.00
2,-95.5908,5570.8921,65.30,82.85,0.00
3,-95.9373,3681.9490,65.45,83.25,0.00
4,-95.4455,2737.6003,65.85,83.65,0.00
5,-95.7380,2170.9326,65.95,84.05,0.00
6,-96.1429,1793.0868,65.84,84.41,0.00
7,-95.8841,1523.2338,65.96,84.77,0.00
8,-95.5696,1320.8834,66.18,85.13,0.00
9,-95.6305,1163.4929,66.22,85.49,0.00
10,-95.8426,1037.5593,66.18,85.86,0.00
11,-95.7803,-95.7561,66.13,86.22,0.00
12,-96.2245,-95.8195,66.07,86.58,0.00
13,-96.5901,-95.8848,66.00,86.94,0.00
14,-96.7971,-96.0200,65.93,87.30,0.00
15,-96.8585,-96.1320,65.87,87.66,0.00
16,-97.1902,-96.2367,65.84,88.02,0.00
17,-97.5872,-96.4070,65.81,88.37,0.00
18,-97.5802,-96.6081,65.78,88.73,0.00
19,-108.8579,-97.9308,62.19,89.09,1.00
20,-109.2761,-99.2742,61.90,89.44,1.00
21,-109.0537,-100.6015,61.79,89.80,1.00
22,-108.7700,-101.8561,61.77,90.15,1.00
23,-108.5963,-103.0567,61.61,90.50,1.00
24,-108.3148,-104.2085,61.51,90.85,1.00
25,-108.1115,-105.3338,61.41,91.20,1.00
26,-107.8207,-106.3968,61.32,91.55,1.00
27,-107.7036,-107.4085,61.23,91.89,1.00
28,-107.3315,-108.3836,61.08,92.24,1.00
29,-106.7659,-108.1744,61.02,92.58,1.00
30,-106.9048,-107.9373,60.93,92.92,1.00
31,-106.5224,-107.6841,60.87,93.27,1.00
32,-106.2471,-107.4319,60.78,93.61,1.00
33,-106.5828,-107.2305,60.66,93.95,1.00
34,-106.2377,-107.0228,60.54,94.29,1.00
35,-106.2714,-106.8388,60.38,94.62,1.00
36,-106.5727,-106.7140,60.16,94.96,1.00
37,-106.5101,-106.5946,59.91,95.30,1.00
38,-106.6250,-106.5240,59.66,95.63,1.00
39,-106.9231,-106.5397,59.40,95.96,1.00
40,-106.8162,-106.5309,59.26,96.29,1.00
41,-106.8765,-106.5663,59.10,96.62,1.00
42,-106.8078,-106.6223,58.95,96.95,1.00
43,-106.7308,-106.6371,58.82,97.28,1.00
44,-106.8771,-106.7011,58.64,97.61,1.00
45,-107.1781,-106.7917,58.50,97.94,1.00
46,-107.1369,-106.8482,58.39,98.26,1.00
47,-106.9575,-106.8929,58.30,98.59,1.00
48,-107.0196,-106.9324,58.28,98.91,1.00
49,-106.5185,-106.8919,58.28,99.24,1.00
50,-106.3468,-106.8450,58.30,99.56,1.00
51,-105.5137,-106.7087,58.27,99.89,1.00
52,-105.3727,-106.5652,58.22,100.21,1.00
53,-105.1202,-106.4041,58.15,100.53,1.00
54,-107.0856,-106.4250,57.74,100.85,1.00
55,-107.7091,-106.4781,57.59,101.17,1.00
56,-107.9761,-106.5620,57.56,101.50,1.00
57,-108.5166,-106.7179,57.56,101.82,1.00
58,-109.3471,-106.9506,57.48,102.14,1.00
59,-109.7470,-107.2735,57.37,102.46,1.00
60,-110.0978,-107.6486,57.28,102.78,1.00
61,-110.3302,-108.1302,57.18,103.10,1.00
62,-110.1569,-108.6087,57.06,103.42,1.00
63,-110.3179,-109.1284,56.93,103.75,1.00
