episode,total_reward,avg_reward,max_speed,distance_raced,damage
1,189445.0312,189445.0312,61.42,56.89,0.00
2,896.0668,95170.5469,61.40,57.26,0.00
3,881.2803,63740.7930,61.45,57.63,0.00
4,873.6458,48024.0039,61.87,58.00,0.00
5,859.8188,38591.1641,61.97,58.37,0.00
6,849.9495,32300.9629,62.30,58.75,0.00
7,835.6390,27805.9180,62.39,59.12,0.00
8,820.4585,24432.7344,62.43,59.50,0.00
9,811.6376,21808.1680,62.84,59.87,0.00
10,801.7065,19707.5215,63.21,60.25,0.00
11,787.1342,841.7337,63.29,60.64,0.00
12,772.1689,829.3439,63.37,61.02,0.00
13,759.7598,817.1919,63.62,61.40,0.00
14,744.3979,804.2671,63.68,61.78,0.00
15,727.6860,791.0538,63.64,62.17,0.00
16,710.9360,777.1525,63.61,62.55,0.00
17,693.6655,762.9551,63.55,62.93,0.00
18,677.0944,748.6187,63.52,63.32,0.00
19,660.2910,733.4840,63.47,63.70,0.00
20,643.2000,717.6333,63.41,64.08,0.00
21,627.2479,701.6447,63.42,64.46,0.00
22,611.0074,685.5286,63.41,64.84,0.00
23,594.6774,669.0203,63.39,65.23,0.00
24,577.5772,652.3383,63.33,65.61,0.00
25,560.7579,635.6454,63.27,65.99,0.00
26,544.3675,618.9886,63.23,66.37,0.00
27,527.1193,602.3340,63.13,66.75,0.00
28,511.4664,585.7712,63.17,67.13,0.00
29,499.6335,569.7054,63.56,67.51,0.00
30,487.3256,554.1180,63.97,67.89,0.00
31,488.0929,540.2025,64.05,68.28,0.00
32,489.4343,528.0451,64.19,68.66,0.00
33,491.4455,517.7220,64.40,69.05,0.00
34,492.8636,509.2506,64.54,69.44,0.00
35,494.0716,502.5821,64.67,69.83,0.00
36,495.7949,497.7248,64.84,70.22,0.00
37,497.9956,494.8123,65.07,70.61,0.00
38,501.9406,493.8598,65.47,71.00,0.00
39,504.3447,494.3309,65.72,71.40,0.00
40,504.8282,496.0811,65.76,71.79,0.00
41,504.6617,497.7380,65.77,72.19,0.00
42,504.5792,499.2525,65.75,72.59,0.00
43,504.3810,500.5461,65.74,72.98,0.00
44,504.0929,501.6690,65.72,73.38,0.00
45,503.8977,502.6516,65.70,73.78,0.00
46,503.5993,503.4321,65.68,74.17,0.00
47,503.5159,503.9841,65.66,74.57,0.00
48,503.3729,504.1273,65.67,74.97,0.00
49,503.1321,504.0060,65.65,75.36,0.00
50,502.4057,503.7638,65.59,75.72,0.00
51,501.8959,503.4872,65.55,76.08,0.00
52,501.7269,503.2021,65.53,76.44,0.00
53,501.3774,502.9017,65.50,76.80,0.00
54,501.0132,502.5937,65.47,77.16,0.00
55,500.6682,502.2708,65.45,77.51,0.00
56,500.0510,501.9159,65.39,77.87,0.00
57,498.9112,501.4554,65.29,78.23,0.00
58,496.6274,500.7809,65.08,78.58,0.00
59,496.8704,500.1547,65.13,78.94,0.00
60,495.1009,499.4243,64.95,79.29,0.00
61,494.6906,498.7037,64.93,79.64,0.00
62,497.5002,498.2811,65.21,79.99,0.00
63,500.8726,498.2306,65.55,80.34,0.00
64,503.8633,498.5156,65.85,80.69,0.00
65,507.4553,499.1943,66.23,81.04,0.00
66,509.4370,500.1329,66.44,81.40,0.00
67,513.7859,501.6204,66.88,81.76,0.00
68,515.3373,503.4914,67.04,82.12,0.00
69,514.6645,505.2708,67.00,82.48,0.00
70,514.7242,507.2331,66.99,82.84,0.00
71,513.9227,509.1563,66.91,83.20,0.00
72,512.8181,510.6881,66.82,83.56,0.00
73,512.5910,511.8599,66.81,83.92,0.00
74,512.0761,512.6812,66.77,84.28,0.00
75,511.4980,513.0855,66.72,84.64,0.00
76,511.1239,513.2542,66.69,85.00,0.00
77,510.9719,512.9728,66.67,85.35,0.00
78,510.3035,512.4694,66.62,85.71,0.00
79,509.7198,511.9749,66.58,86.07,0.00
80,509.6678,511.4693,66.57,86.42,0.00
81,507.4161,510.8187,66.35,86.78,0.00
82,506.2175,510.1585,66.26,87.14,0.00
83,506.0735,509.5068,66.24,87.49,0.00
84,508.6302,509.1622,66.51,87.85,0.00
85,512.7778,509.2902,66.93,88.21,0.00
86,515.0162,509.6794,67.16,88.57,0.00
87,518.0737,510.3896,67.46,88.93,0.00
88,521.1969,511.4789,67.78,89.30,0.00
89,520.2030,512.5273,67.70,89.66,0.00
90,518.6826,513.4288,67.57,90.03,0.00
91,520.9248,514.7797,67.80,90.39,0.00
92,522.9494,516.4528,68.01,90.75,0.00
93,526.9170,518.5372,68.42,91.11,0.00
94,529.3722,520.6113,68.67,91.48,0.00
95,530.3187,522.3655,68.77,91.85,0.00
96,529.7964,523.8435,68.74,92.21,0.00
97,529.2921,524.9653,68.70,92.58,0.00
98,528.3684,525.6824,68.63,92.94,0.00
99,527.0074,526.3629,68.52,93.30,0.00
100,525.0211,526.9968,68.35,93.66,0.00
101,523.4951,527.2538,68.19,94.02,0.00
102,523.1642,527.2753,68.16,94.37,0.00
103,523.0430,526.8878,68.16,94.73,0.00
104,522.4232,526.1930,68.13,95.08,0.00
105,522.0807,525.3692,68.09,95.43,0.00
106,521.5908,524.5486,68.07,95.79,0.00
107,521.0923,523.7286,68.02,96.14,0.00
108,520.0698,522.8987,67.94,96.50,0.00
109,518.8307,522.0811,67.83,96.85,0.00
110,518.2980,521.4088,67.79,97.21,0.00
111,518.7755,520.9368,67.81,97.57,0.00
112,521.8363,520.8041,68.13,97.93,0.00
113,525.9835,521.0981,68.59,98.28,7.00
114,454.5221,514.3080,61.85,98.65,7.00
115,455.1958,507.6195,61.91,99.01,7.00
116,455.8422,501.0446,61.97,99.37,7.00
117,456.5207,494.5875,62.02,99.73,7.00
118,457.3659,488.3170,62.10,100.09,7.00
119,458.8573,482.3198,62.23,100.45,7.00
120,460.1357,476.5035,62.36,100.81,7.00
121,460.1910,470.6451,62.36,101.17,7.00
122,459.1953,464.3810,62.25,101.53,7.00
123,458.1454,457.5972,62.12,101.88,7.00
124,456.5854,457.8035,61.95,102.24,7.00
125,454.5737,457.7413,61.74,102.59,7.00
126,454.3748,457.5945,61.69,102.94,7.00
127,457.0095,457.6435,61.91,103.29,7.00
128,455.1545,457.4223,61.72,103.64,7.00
129,453.2611,456.8626,61.50,103.99,7.00
130,450.1135,455.8604,61.18,104.33,7.00
131,447.6786,454.6092,60.93,104.67,7.00
132,445.1644,453.2061,60.66,105.01,7.00
133,442.1028,451.6019,60.35,105.35,7.00
134,439.8546,449.9288,60.11,105.69,7.00
135,437.6617,448.2375,59.88,106.02,7.00
136,434.7029,446.2703,59.60,106.36,7.00
137,431.7338,443.7428,59.28,106.69,7.00
138,431.7753,441.4048,59.30,107.02,7.00
139,423.8013,438.4589,58.49,107.35,7.00
140,419.7499,435.4225,58.05,107.67,7.00
141,417.1385,432.3686,57.81,108.00,7.00
142,414.3008,429.2822,57.52,108.32,7.00
143,414.3793,426.5099,57.54,108.64,7.00
144,415.5182,424.0762,57.66,108.96,7.00
145,417.1741,422.0274,57.81,109.29,7.00
146,417.0499,420.2621,57.79,109.61,7.00
147,414.6956,418.5583,57.56,109.93,7.00
148,411.8596,416.5667,57.28,110.25,7.00
149,408.4041,415.0270,56.93,110.57,7.00
150,403.1312,413.3651,56.40,110.89,7.00
151,398.1470,411.4660,55.90,111.20,7.00
152,393.7310,409.4090,55.48,111.51,7.00
153,390.1662,406.9877,55.13,111.82,7.00
154,388.0980,404.2457,54.92,112.13,7.00
155,382.8631,400.8146,54.40,112.44,7.00
156,378.1119,396.9207,53.93,112.74,7.00
157,374.5667,392.9078,53.58,113.04,7.00
158,371.4910,388.8710,53.29,113.34,7.00
159,368.0807,384.8387,52.95,113.64,7.00
160,364.3474,380.9603,52.58,113.94,7.00
161,360.9816,377.2437,52.27,114.24,7.00
162,357.9011,373.6608,51.95,114.53,7.00
163,354.3310,370.0773,51.59,114.82,7.00
164,350.8793,366.3554,51.25,115.11,7.00
165,348.1589,362.8850,50.99,115.40,7.00
166,346.7193,359.7457,50.85,115.69,7.00
167,346.3328,356.9223,50.83,115.98,7.00
168,346.2885,354.4020,50.84,116.27,7.00
169,346.1772,352.2117,50.83,116.56,7.00
170,345.9250,350.3695,50.80,116.85,7.00
171,346.8394,348.9553,50.90,117.14,7.00
172,348.0603,347.9712,51.02,117.43,7.00
173,348.3098,347.3691,51.04,117.72,7.00
174,348.0254,347.0837,51.00,118.01,7.00
175,349.0605,347.1738,51.09,118.30,7.00
176,347.5229,347.2542,50.91,118.59,7.00
177,345.0916,347.1301,50.66,118.88,7.00
178,343.2326,346.8245,50.48,119.16,7.00
179,341.7971,346.3865,50.32,119.44,7.00
180,339.2637,345.7203,50.07,119.73,7.00
181,337.0561,344.7420,49.84,120.01,7.00
182,334.9087,343.4268,49.63,120.29,7.00
183,332.3997,341.8358,49.38,120.57,7.00
184,330.4182,340.0751,49.16,120.84,7.00
185,328.9610,338.0651,49.01,121.12,7.00
186,326.9441,336.0073,48.80,121.39,7.00
187,324.4191,333.9400,48.55,121.67,7.00
188,321.5581,331.7726,48.26,121.94,7.00
189,319.1069,329.5036,48.03,122.21,7.00
190,317.3928,327.3165,47.84,122.48,7.00
191,317.5706,325.3679,47.86,122.75,7.00
192,318.7593,323.7530,47.98,123.01,7.00
193,320.5872,322.5717,48.16,123.28,7.00
194,322.2888,321.7588,48.34,123.56,7.00
195,322.7857,321.1413,48.38,123.83,7.00
196,324.5642,320.9033,48.55,124.10,7.00
197,326.6674,321.1281,48.76,124.37,7.00
198,328.6998,321.8423,48.96,124.64,7.00
199,329.3343,322.8650,49.03,124.92,7.00
200,330.2801,324.1537,49.11,125.19,7.00
201,329.5056,325.3472,49.03,125.47,7.00
202,327.0314,326.1745,48.79,125.74,7.00
203,325.2022,326.6359,48.60,126.01,7.00
204,323.8479,326.7919,48.46,126.28,7.00
205,323.3689,326.8502,48.40,126.56,7.00
206,319.0761,326.3014,47.96,126.82,7.00
207,317.6098,325.3956,47.81,127.09,7.00
208,315.0592,324.0316,47.56,127.36,7.00
209,311.7101,322.2692,47.24,127.62,7.00
210,308.1866,320.0598,46.89,127.89,7.00
211,305.3502,317.6442,46.62,128.15,7.00
212,303.4827,315.2894,46.42,128.41,7.00
213,301.4138,312.9106,46.22,128.67,7.00
214,299.3051,310.4562,46.02,128.92,7.00
215,297.0938,307.8288,45.80,129.18,7.00
216,294.5942,305.3806,45.54,129.44,7.00
217,293.3434,302.9539,45.43,129.69,7.00
218,294.0978,300.8578,45.50,129.95,7.00
219,295.6033,299.2471,45.66,130.20,7.00
220,298.4458,298.2730,45.93,130.46,7.00
221,302.9012,298.0281,46.36,130.72,7.00
222,305.5298,298.2328,46.62,130.98,7.00
223,307.9929,298.8907,46.86,131.24,7.00
224,307.7160,299.7318,46.82,131.50,7.00
225,305.6851,300.5910,46.62,131.76,7.00
226,304.5618,301.5877,46.52,132.02,7.00
227,303.7601,302.6294,46.44,132.28,7.00
228,301.6483,303.3844,46.23,132.54,7.00
229,299.3818,303.7623,46.00,132.79,7.00
230,297.2467,303.6424,45.79,133.05,7.00
231,295.2136,302.8736,45.59,133.31,7.00
232,293.3643,301.6570,45.40,133.56,7.00
233,291.2347,299.9812,45.21,133.81,7.00
234,288.9060,298.1003,44.96,134.07,7.00
235,286.6414,296.1959,44.75,134.32,7.00
236,284.6045,294.2001,44.55,134.57,7.00
237,282.4684,292.0710,44.33,134.82,7.00
238,280.8320,289.9893,44.16,135.06,7.00
239,279.2928,287.9804,44.01,135.31,7.00
240,278.5072,286.1065,43.92,135.56,7.00
241,279.0791,284.4931,43.96,135.80,7.00
242,278.0903,282.9657,43.87,136.05,7.00
243,277.6668,281.6089,43.81,136.29,7.00
244,269.5219,279.6704,42.98,136.53,7.00
245,270.3166,278.0380,43.04,136.77,7.00
246,273.2067,276.8982,43.30,137.01,7.00
247,266.4734,275.2986,42.68,137.25,7.00
248,265.8305,273.7985,42.63,137.49,7.00
249,267.9399,272.6633,42.86,137.73,7.00
250,271.2113,271.9337,43.17,137.97,7.00
251,272.4088,271.2666,43.27,138.21,7.00
252,272.7844,270.7361,43.28,138.45,7.00
253,272.5863,270.2280,43.24,138.69,7.00
254,268.2310,270.0989,42.85,138.93,7.00
255,264.8752,269.5547,42.54,139.17,7.00
256,262.2624,268.4604,42.27,139.41,7.00
257,259.6687,267.7799,42.02,139.64,7.00
258,258.3298,267.0298,41.89,139.88,7.00
259,257.8706,266.0229,41.84,140.11,7.00
260,258.1995,264.7216,41.85,140.34,7.00
261,258.7393,263.3547,41.88,140.58,7.00
262,258.9416,261.9704,41.88,140.81,7.00
263,259.0735,260.6192,41.88,141.04,7.00
264,259.0740,259.7034,41.88,141.27,7.00
265,259.0845,259.1244,41.88,141.51,7.00
266,258.8454,258.7827,41.86,141.74,7.00
267,258.9875,258.7146,41.86,141.97,7.00
268,258.5629,258.7379,41.83,142.20,7.00
269,258.9685,258.8476,41.87,142.44,7.00
270,260.8653,259.1142,42.04,142.67,7.00
271,262.7122,259.5115,42.23,142.90,7.00
272,257.6305,259.3804,41.83,143.14,7.00
273,258.1726,259.2903,41.88,143.37,7.00
274,261.0934,259.4923,42.16,143.61,7.00
275,261.1686,259.7007,42.17,143.84,7.00
276,262.2460,260.0408,42.27,144.08,7.00
277,265.5135,260.6933,42.59,144.31,7.00
278,268.6650,261.7036,42.90,144.55,7.00
279,269.8573,262.7924,43.01,144.79,7.00
280,269.7690,263.6828,42.97,145.03,7.00
281,268.3243,264.2440,42.84,145.27,7.00
282,268.0688,265.2878,42.82,145.51,7.00
283,268.1340,266.2840,42.81,145.75,7.00
284,268.1272,266.9874,42.80,145.98,7.00
285,267.8933,267.6599,42.77,146.22,7.00
286,267.5747,268.1927,42.74,146.46,7.00
287,258.9256,267.5339,41.88,146.69,7.00
288,255.2337,266.1908,41.51,146.93,7.00
289,254.3562,264.6407,41.43,147.16,7.00
290,254.1244,263.0762,41.40,147.39,7.00
291,254.2169,261.6655,41.41,147.62,7.00
292,254.2058,260.2792,41.39,147.85,7.00
293,252.0491,258.6707,41.20,148.08,7.00
294,251.7514,257.0331,41.18,148.31,7.00
295,250.8883,255.3326,41.09,148.53,7.00
296,253.5626,253.9314,41.35,148.76,7.00
297,257.2183,253.7607,41.70,149.00,7.00
298,254.5974,253.6971,41.42,149.23,7.00
299,247.6613,253.0275,40.76,149.45,7.00
300,247.0865,252.3238,40.71,149.68,7.00
301,247.3275,251.6348,40.74,149.91,7.00
302,246.3491,250.8492,40.65,150.13,7.00
303,247.2892,250.3731,40.75,150.36,7.00
304,249.7823,250.1762,41.01,150.59,7.00
305,250.0237,250.0898,41.01,150.82,7.00
306,249.8198,249.7155,40.98,151.05,7.00
307,250.5443,249.0481,41.04,151.27,7.00
308,250.5392,248.6423,41.02,151.50,7.00
309,249.7998,248.8561,40.92,151.73,7.00
310,248.5223,248.9997,40.80,151.96,7.00
311,248.3587,249.1028,40.78,152.18,7.00
312,247.9045,249.2584,40.75,152.41,7.00
313,247.2923,249.2587,40.68,152.64,7.00
314,246.7245,248.9529,40.63,152.86,7.00
315,246.8246,248.6330,40.63,153.09,7.00
316,246.5007,248.3011,40.60,153.31,7.00
317,246.4282,247.8895,40.58,153.54,7.00
318,246.2115,247.4567,40.56,153.76,7.00
