episode,total_reward,avg_reward,max_speed,distance_raced,damage
5,-23192.7793,-23192.7793,38.65,26.54,352.00
6,-161.2629,-11677.0215,39.05,26.72,352.00
7,-161.5308,-7838.5249,39.10,26.89,352.00
8,-160.9900,-5919.1411,39.63,27.07,352.00
9,-160.5168,-4767.4165,40.29,27.25,352.00
10,-188.0818,-4004.1941,26.20,27.43,411.00
11,-195.6371,-3460.1145,21.64,27.62,411.00
12,-195.2411,-3052.0051,22.05,27.81,411.00
13,-195.6680,-2734.6343,22.14,28.00,411.00
14,-195.1043,-2480.6812,22.17,28.19,411.00
15,-194.8760,-180.8909,22.15,28.38,411.00
16,-194.2025,-184.1848,22.20,28.56,411.00
17,-193.8026,-187.4120,21.95,28.74,411.00
18,-193.1882,-190.6319,21.65,28.91,411.00
19,-193.1840,-193.8986,21.24,29.07,411.00
20,-192.9221,-194.3826,21.11,29.24,411.00
21,-192.4043,-194.0593,20.87,29.39,411.00
22,-192.5084,-193.7860,20.44,29.54,411.00
23,-192.6020,-193.4794,20.11,29.69,411.00
24,-191.9921,-193.1682,19.63,29.83,411.00
25,-191.5356,-192.8342,19.39,29.97,411.00
26,-190.6070,-192.4746,19.56,30.10,411.00
27,-190.1691,-192.1113,19.61,30.22,411.00
28,-190.7249,-191.8650,18.84,30.34,411.00
29,-190.8308,-191.6297,18.54,30.46,411.00
30,-190.8331,-191.4207,18.36,30.58,411.00
31,-190.7450,-191.2548,18.25,30.70,411.00
32,-190.0083,-191.0048,18.36,30.81,411.00
33,-190.6991,-190.8145,17.95,30.92,411.00
34,-190.7530,-190.6906,17.97,31.04,411.00
35,-191.3441,-190.6714,17.45,31.15,411.00
36,-191.0427,-190.7150,17.56,31.26,411.00
37,-191.9660,-190.8947,17.13,31.37,411.00
38,-191.8951,-191.0117,17.04,31.49,411.00
39,-191.7885,-191.1075,16.90,31.60,411.00
40,-192.0422,-191.2284,16.80,31.71,411.00
41,-192.4765,-191.4016,16.32,31.81,411.00
42,-191.9719,-191.5979,16.55,31.92,411.00
43,-192.2640,-191.7544,16.29,32.02,411.00
44,-191.8592,-191.8650,16.43,32.13,411.00
45,-192.7130,-192.0019,15.95,32.23,411.00
46,-192.1293,-192.1106,16.06,32.34,411.00
47,-193.6756,-192.2815,15.44,32.44,411.00
48,-192.9830,-192.3903,15.62,32.55,411.00
49,-194.2850,-192.6400,15.02,32.65,411.00
50,-193.6358,-192.7993,15.27,32.75,411.00
51,-194.5688,-193.0086,14.65,32.85,411.00
52,-193.9822,-193.2096,14.73,32.95,411.00
53,-194.7350,-193.4567,14.26,33.05,411.00
54,-194.8222,-193.7530,14.32,33.14,411.00
55,-195.4636,-194.0280,13.77,33.24,411.00
56,-196.2513,-194.4402,13.81,33.34,411.00
57,-197.5475,-194.8274,13.26,33.44,411.00
58,-198.0524,-195.3344,13.00,33.54,411.00
59,-198.9907,-195.8050,12.59,33.64,411.00
60,-199.4178,-196.3831,12.88,33.74,411.00
61,-200.2254,-196.9488,12.52,33.85,411.00
62,-200.3807,-197.5887,12.20,33.96,411.00
63,-200.3967,-198.1548,11.84,34.06,411.00
64,-199.9439,-198.6670,11.64,34.16,411.00
65,-199.7883,-199.0995,11.44,34.26,411.00
66,-199.1447,-199.3888,11.34,34.35,411.00
67,-198.7507,-199.5091,11.27,34.43,411.00
68,-199.9432,-199.6982,10.42,34.51,411.00
69,-199.8176,-199.7809,9.98,34.59,411.00
70,-199.5901,-199.7981,9.76,34.67,411.00
71,-198.8061,-199.6562,9.89,34.74,411.00
72,-199.5943,-199.5776,9.12,34.81,411.00
73,-199.3745,-199.4754,8.95,34.87,411.00
74,-199.0323,-199.3842,8.69,34.93,411.00
75,-199.0361,-199.3090,8.03,34.98,411.00
76,-199.7948,-199.3740,7.58,35.03,411.00
77,-199.2611,-199.4250,7.46,35.08,411.00
78,-200.1527,-199.4460,6.95,35.12,411.00
79,-201.1078,-199.5750,6.18,35.16,411.00
80,-201.3877,-199.7547,5.89,35.20,411.00
81,-200.8610,-199.9602,5.87,35.24,411.00
82,-201.3549,-200.1363,5.41,35.27,411.00
83,-201.8469,-200.3835,4.97,35.31,411.00
84,-212.1415,-201.6944,4.55,35.34,411.00
85,-212.2339,-203.0142,4.39,35.36,411.00
86,-212.5392,-204.2887,4.02,35.39,411.00
87,-212.3508,-205.5976,3.84,35.41,411.00
88,-212.7652,-206.8589,3.42,35.44,411.00
89,-213.3484,-208.0829,3.09,35.46,411.00
90,-213.4555,-209.2897,2.89,35.48,411.00
91,-213.5650,-210.5601,2.66,35.49,411.00
92,-213.6035,-211.7850,2.48,35.51,411.00
93,-213.4313,-212.9434,2.45,35.53,411.00
94,-213.8442,-213.1137,1.90,35.54,411.00
95,-214.2713,-213.3174,1.87,35.55,411.00
