Race started at: 2025-05-02 22:57:11.054215
Track: Default
Stage: Unknown
Training: Enabled
Loaded model from episode: 450
--------------------------------------------------------------------------------
Connected to server at 2025-05-02 22:57:11.059227
Step 100: Speed=12.4, Pos=1, Damage=0.0, Time=1.0
Step 200: Speed=53.0, Pos=2, Damage=0.0, Time=3.1
Step 300: Speed=87.8, Pos=2, Damage=0.0, Time=5.3
Step 400: Speed=105.1, Pos=3, Damage=0.0, Time=7.5
Step 500: Speed=120.6, Pos=3, Damage=0.0, Time=9.6
Step 600: Speed=133.8, Pos=3, Damage=0.0, Time=11.6
Step 700: Speed=141.5, Pos=3, Damage=0.0, Time=13.6
Step 800: Speed=110.9, Pos=3, Damage=585.0, Time=15.6
Step 900: Speed=113.6, Pos=3, Damage=585.0, Time=17.7
Step 1000: Speed=119.3, Pos=3, Damage=585.0, Time=19.9
Step 1100: Speed=121.6, Pos=3, Damage=585.0, Time=22.1
Step 1200: Speed=112.0, Pos=3, Damage=585.0, Time=24.3
Step 1300: Speed=9.0, Pos=3, Damage=1152.0, Time=26.5
Step 1400: Speed=8.8, Pos=3, Damage=1161.0, Time=28.7
