Race started at: 2025-05-02 20:31:27.639511
Track: Default
Stage: Unknown
Training: Enabled
--------------------------------------------------------------------------------
Connected to server at 2025-05-02 20:31:27.646497
Step 100: Speed=5.9, Pos=1, Damage=0.0, Time=1.0
Step 200: Speed=25.4, Pos=2, Damage=0.0, Time=3.1
Step 300: Speed=45.6, Pos=2, Damage=0.0, Time=5.3
Step 400: Speed=57.7, Pos=2, Damage=0.0, Time=7.5
Step 500: Speed=49.4, Pos=3, Damage=0.0, Time=9.6
Step 600: Speed=39.2, Pos=4, Damage=808.0, Time=11.6
Step 700: Speed=29.0, Pos=4, Damage=2148.0, Time=13.6
Step 800: Speed=7.6, Pos=4, Damage=2184.0, Time=15.6
Step 900: Speed=0.0, Pos=5, Damage=2184.0, Time=17.7
Step 1000: Speed=0.1, Pos=5, Damage=2184.0, Time=19.9
Step 1100: Speed=0.0, Pos=5, Damage=2184.0, Time=22.1
Step 1200: Speed=-0.0, Pos=5, Damage=2184.0, Time=24.3
