episode,total_reward,avg_reward,max_speed,distance_raced,damage
1,118129.5000,118129.5000,55.68,36.26,0.00
2,771.7327,59450.6172,55.01,36.59,0.00
3,757.7811,39886.3398,54.97,36.92,0.00
4,743.8500,30100.7168,54.94,37.25,0.00
5,730.2158,24226.6172,54.91,37.58,0.00
6,716.4489,20308.2559,54.88,37.91,0.00
7,703.0118,17507.5059,54.88,38.24,0.00
8,689.2820,15405.2285,54.86,38.57,0.00
9,675.5595,13768.5986,54.84,38.91,0.00
10,661.1900,12457.8574,54.78,39.23,0.00
11,647.2649,709.6337,54.74,39.56,0.00
12,633.7323,695.8337,54.73,39.89,0.00
13,620.0380,682.0593,54.70,40.22,0.00
14,606.2883,668.3031,54.67,40.55,0.00
15,592.7002,654.5516,54.65,40.88,0.00
16,578.9391,640.8007,54.62,41.20,0.00
17,565.4381,627.0433,54.60,41.53,0.00
18,551.8243,613.2975,54.57,41.86,0.00
19,538.0585,599.5474,54.53,42.19,0.00
20,524.4408,585.8724,54.51,42.51,0.00
21,510.9138,572.2373,54.47,42.84,0.00
22,497.2632,558.5905,54.44,43.17,0.00
23,483.6817,544.9548,54.41,43.49,0.00
24,470.3786,531.3639,54.39,43.82,0.00
25,456.4892,517.7427,54.33,44.14,0.00
26,420.8785,501.9367,52.51,44.47,0.00
27,408.7895,486.2718,52.52,44.80,0.00
28,395.9618,470.6855,52.47,45.12,0.00
29,382.3956,455.1192,52.34,45.44,0.00
30,368.3421,439.5094,52.17,45.76,0.00
31,366.8019,425.0982,52.02,46.09,0.00
32,366.9981,412.0717,52.02,46.41,0.00
33,367.3809,400.4416,52.03,46.73,0.00
34,366.4938,390.0531,51.93,47.04,0.00
35,366.5244,381.0566,51.93,47.36,0.00
36,367.1629,375.6851,51.97,47.68,0.00
37,367.3259,371.5387,51.96,48.00,0.00
38,363.5728,368.2998,51.63,48.31,0.00
39,363.1012,366.3704,51.56,48.63,0.00
40,361.7503,365.7112,51.43,48.95,0.00
41,360.1640,365.0474,51.26,49.26,0.00
42,357.8225,364.1299,51.04,49.57,0.00
43,355.1537,362.9072,50.75,49.88,0.00
44,350.1392,361.2717,50.24,50.19,0.00
45,346.7442,359.2937,49.90,50.50,0.00
46,344.7988,357.0573,49.71,50.80,0.00
47,342.3075,354.5555,49.48,51.11,0.00
48,334.9189,351.6900,48.74,51.41,0.00
49,330.3966,348.4196,48.28,51.71,0.00
50,325.6637,344.8109,47.84,52.00,0.00
51,322.6927,341.0638,47.55,52.29,0.00
52,316.7921,336.9607,46.97,52.58,0.00
53,312.5022,332.6956,46.54,52.87,0.00
54,308.1152,328.4932,46.11,53.16,0.00
55,304.6005,324.2788,45.74,53.44,0.00
56,302.9527,320.0942,45.57,53.72,0.00
57,300.5923,315.9227,45.35,54.00,0.00
58,299.2891,312.3597,45.22,54.28,0.00
59,298.0248,309.1225,45.09,54.56,0.00
60,297.4801,306.3042,45.03,54.83,0.00
61,297.2852,303.7635,45.00,55.11,0.00
62,297.6183,301.8460,45.03,55.39,0.00
63,297.6364,300.3595,45.00,55.66,0.00
64,295.1611,299.0641,44.73,55.94,0.00
65,292.0625,297.8102,44.45,56.21,0.00
66,289.5332,296.4683,44.21,56.48,0.00
67,287.3355,295.1426,44.00,56.75,0.00
68,285.5457,293.7682,43.81,57.02,0.00
69,282.9804,292.2639,43.58,57.29,0.00
70,277.1931,290.2352,42.99,57.56,0.00
71,271.5200,287.6586,42.41,57.82,0.00
72,269.6208,284.8589,42.20,58.08,0.00
73,263.1208,281.4073,41.55,58.33,0.00
74,257.4600,277.6372,40.97,58.59,0.00
75,254.9662,273.9276,40.71,58.83,0.00
76,253.2607,270.3003,40.54,59.08,0.00
77,248.6151,266.4283,40.06,59.33,0.00
78,247.2173,262.5955,39.91,59.57,0.00
79,241.8495,258.4824,39.37,59.82,0.00
80,235.2944,254.2925,38.71,60.05,0.00
81,227.4861,249.8891,37.92,60.29,0.00
82,222.1851,245.1455,37.39,60.52,0.00
83,221.0169,240.9351,37.26,60.75,0.00
84,216.2905,236.8182,36.78,60.97,0.00
85,213.3975,232.6613,36.50,61.20,0.00
86,212.2490,228.5602,36.38,61.42,0.00
87,211.9777,224.8964,36.35,61.64,0.00
88,205.3758,220.7122,35.69,61.86,0.00
89,197.4686,216.2741,34.91,62.08,0.00
90,189.2039,211.6651,34.07,62.29,0.00
91,182.7622,207.1927,33.43,62.50,0.00
92,176.1402,202.5882,32.77,62.70,0.00
93,167.2469,197.2112,31.88,62.90,0.00
94,162.7328,191.8554,31.43,63.09,0.00
95,154.9659,186.0123,30.66,63.28,0.00
96,151.1406,179.9014,30.27,63.46,0.00
97,149.5050,173.6542,30.10,63.65,0.00
98,148.7455,167.9912,30.04,63.83,0.00
99,144.6899,162.7133,29.64,64.01,0.00
100,143.7868,158.1716,29.55,64.20,0.00
101,142.1509,154.1104,29.38,64.38,0.00
102,140.4563,150.5421,29.20,64.55,0.00
103,135.3123,147.3486,28.69,64.73,0.00
104,131.0878,144.1841,28.25,64.90,0.00
105,128.4193,141.5294,28.00,65.08,0.00
106,120.2974,138.4451,27.18,65.24,0.00
107,110.6894,134.5636,26.23,65.41,0.00
108,106.7642,130.3654,25.84,65.57,0.00
109,105.0026,126.3967,25.66,65.72,0.00
110,104.2350,122.4415,25.59,65.88,0.00
111,97.9071,118.0171,24.96,66.03,0.00
112,95.8128,113.5528,24.73,66.19,0.00
113,91.4624,109.1678,24.31,66.33,0.00
114,88.7691,104.9359,24.03,66.48,0.00
115,82.4265,100.3366,23.40,66.63,0.00
116,79.1258,96.2195,23.07,66.77,0.00
117,77.9998,92.9505,22.96,66.91,0.00
118,77.9465,90.0688,22.95,67.05,0.00
119,77.4822,87.3167,22.91,67.19,0.00
120,76.8805,84.5813,22.86,67.33,0.00
121,77.2113,82.5117,22.87,67.47,0.00
122,76.8506,80.6155,22.85,67.61,0.00
123,73.7104,78.8403,22.53,67.75,0.00
124,69.1145,76.8748,22.08,67.87,0.00
125,67.3994,75.3721,21.89,67.99,0.00
126,66.7763,74.1372,21.83,68.12,0.00
127,62.2438,72.5615,21.39,68.24,0.00
128,56.8283,70.4497,20.85,68.35,0.00
129,53.6576,68.0673,20.52,68.47,0.00
130,53.3825,65.7175,20.48,68.58,0.00
131,53.0606,63.3024,20.47,68.69,0.00
132,53.4404,60.9614,20.49,68.81,0.00
133,53.0114,58.8915,20.45,68.92,0.00
134,48.7928,56.8593,20.03,69.03,0.00
135,44.0684,54.5262,19.55,69.14,0.00
136,40.6051,51.9091,19.22,69.25,0.00
137,39.0986,49.5946,19.06,69.36,0.00
138,37.3931,47.6511,18.91,69.46,0.00
139,34.1241,45.6977,18.58,69.57,0.00
140,31.7502,43.5345,18.33,69.67,0.00
141,27.5196,40.9804,17.92,69.77,0.00
142,26.1429,38.2506,17.78,69.87,0.00
143,26.2046,35.5700,17.77,69.97,0.00
144,22.2011,32.9108,17.39,70.06,0.00
145,20.7734,30.5813,17.25,70.16,0.00
146,19.7754,28.4983,17.15,70.26,0.00
147,19.9119,26.5796,17.16,70.35,0.00
148,20.0794,24.8483,17.17,70.45,0.00
149,20.1036,23.4462,17.17,70.54,0.00
150,19.9368,22.2649,17.16,70.64,0.00
151,19.5006,21.4630,17.12,70.73,0.00
152,13.7934,20.2280,16.54,70.83,0.00
153,12.1224,18.8198,16.38,70.92,0.00
154,10.7608,17.6758,16.24,71.01,0.00
155,10.6715,16.6656,16.24,71.10,0.00
156,10.4290,15.7309,16.21,71.19,0.00
157,8.7207,14.6118,16.03,71.28,0.00
158,3.4649,12.9504,15.51,71.37,0.00
159,3.8683,11.3268,15.56,71.45,0.00
160,3.5516,9.6883,15.52,71.54,0.00
161,-0.4238,7.6959,15.14,71.62,0.00
162,-3.7458,5.9420,14.80,71.71,0.00
163,-8.3336,3.8964,14.35,71.79,0.00
164,-8.5087,1.9694,14.33,71.87,0.00
165,-9.6671,-0.0645,14.21,71.95,0.00
166,-9.5945,-2.0668,14.21,72.03,0.00
167,-9.2972,-3.8686,14.24,72.10,0.00
168,-9.6609,-5.1812,14.20,72.18,0.00
169,-12.3728,-6.8053,13.93,72.26,0.00
170,-13.1658,-8.4770,13.83,72.34,0.00
171,-13.4760,-9.7822,13.82,72.42,0.00
172,-14.0612,-10.8138,13.77,72.49,0.00
173,-14.1194,-11.3924,13.76,72.57,0.00
174,-13.7052,-11.9120,13.79,72.65,0.00
175,-14.5435,-12.3997,13.70,72.72,0.00
176,-14.5719,-12.8974,13.69,72.80,0.00
