episode,total_reward,avg_reward,max_speed,distance_raced,damage
1,1637735.0000,1637735.0000,89.65,63.00,0.00
2,13525.1758,825630.0625,89.73,63.53,0.00
3,13324.2402,554861.4375,89.94,64.06,0.00
4,13148.1084,419433.1250,90.32,64.60,0.00
5,12964.9746,338139.5000,90.68,65.13,0.00
6,12804.9199,283917.0625,91.20,65.67,0.00
7,12628.2266,245161.5156,91.63,66.21,0.00
8,12385.6689,216064.5312,91.60,66.75,0.00
9,12137.1035,193405.9375,91.52,67.29,0.00
10,11888.4316,175254.1719,91.44,67.83,0.00
11,11639.2451,12644.6094,91.36,68.37,0.00
12,11389.5303,12431.0449,91.26,68.90,0.00
13,11135.7051,12212.1904,91.13,69.44,0.00
14,10883.5830,11985.7383,91.01,69.98,0.00
15,10670.7021,11756.3115,91.20,70.52,0.00
16,10457.1826,11521.5371,91.41,71.06,0.00
17,10235.0645,11282.2217,91.54,71.60,0.00
18,10014.2021,11045.0752,91.70,72.14,0.00
19,9789.0215,10810.2666,91.82,72.69,0.00
20,9573.9492,10578.8184,92.04,73.23,0.00
21,9359.7246,10350.8662,92.28,73.78,0.00
22,9132.2129,10125.1357,92.40,74.32,0.00
23,8894.4854,9901.0127,92.43,74.87,0.00
24,8667.0176,9679.3555,92.57,75.42,0.00
25,8453.5615,9457.6416,92.86,75.97,0.00
26,8237.4043,9235.6641,93.14,76.52,0.00
27,8012.9902,9013.4570,93.34,77.07,0.00
28,7788.9438,8790.9316,93.56,77.62,0.00
29,7567.1650,8568.7461,93.82,78.17,0.00
30,7339.7285,8345.3232,94.03,78.72,0.00
31,7353.7666,8144.7275,94.21,79.28,0.00
32,7356.6782,7967.1743,94.25,79.83,0.00
33,7376.5425,7815.3799,94.49,80.39,0.00
34,7382.1533,7686.8931,94.56,80.95,0.00
35,7404.1729,7581.9546,94.84,81.51,0.00
36,7409.9331,7499.2070,94.91,82.07,0.00
37,7421.4824,7440.0571,95.06,82.63,0.00
38,7441.4458,7405.3062,95.31,83.20,0.00
39,7467.8369,7395.3740,95.64,83.76,0.00
40,7495.6475,7410.9658,95.99,84.33,0.00
41,7511.4292,7426.7319,96.18,84.89,0.00
42,7522.0938,7443.2734,96.32,85.46,0.00
43,7546.4775,7460.2671,96.62,86.03,0.00
44,7560.0361,7478.0562,96.79,86.60,0.00
45,7562.2515,7493.8633,96.82,87.17,0.00
46,7569.9043,7509.8608,96.92,87.74,0.00
47,7572.6416,7524.9756,96.95,88.31,0.00
48,7583.4541,7539.1768,97.09,88.88,0.00
49,7586.0762,7551.0010,97.12,89.45,0.00
50,7591.8926,7560.6250,97.19,90.02,0.00
51,7600.8276,7569.5654,97.30,90.59,0.00
52,7624.6904,7579.8252,97.60,91.17,0.00
53,7629.3130,7588.1079,97.66,91.75,0.00
54,7653.0015,7597.4053,97.96,92.32,0.00
55,7655.8726,7606.7681,97.99,92.91,0.00
56,7674.3291,7617.2095,98.22,93.49,0.00
57,7702.4692,7630.1924,98.58,94.07,0.00
58,7720.7900,7643.9258,98.81,94.66,0.00
59,7721.3320,7657.4517,98.81,95.25,0.00
60,7743.7778,7672.6406,99.09,95.84,0.00
61,7774.6431,7690.0220,99.48,96.43,0.00
