episode,total_reward,avg_reward,max_speed,distance_raced,damage
1,735604.7500,735604.7500,59.11,27.70,0.00
2,8820.2080,372212.4688,59.31,28.03,0.00
3,8765.6250,251063.5156,59.95,28.36,0.00
4,8643.3730,190458.4844,60.16,28.69,0.00
5,8503.8555,154067.5625,60.26,29.03,0.00
6,8366.8594,129784.1172,60.39,29.36,0.00
7,8229.9844,112419.2422,60.51,29.70,0.00
8,8090.2681,99378.1172,60.63,30.04,0.00
9,7951.8691,89219.6484,60.75,30.38,0.00
10,7875.1333,81085.1953,61.35,30.73,0.00
11,7784.0679,8303.1250,61.86,31.08,0.00
12,7641.0376,8185.2080,61.98,31.43,0.00
13,7546.8462,8063.3291,62.50,31.78,0.00
14,7388.4756,7937.8398,62.52,32.14,0.00
15,7222.7422,7809.7280,62.47,32.49,0.00
16,7056.2124,7678.6631,62.42,32.85,0.00
17,6888.9438,7544.5601,62.36,33.21,0.00
18,6722.9238,7407.8252,62.31,33.57,0.00
19,6555.2676,7268.1650,62.24,33.92,0.00
20,6388.3257,7119.4844,62.18,34.28,0.00
21,6230.9136,6964.1680,62.20,34.64,0.00
22,6064.8042,6806.5454,62.14,34.99,0.00
23,5900.0693,6641.8672,62.08,35.35,0.00
24,5734.9888,6476.5190,62.03,35.70,0.00
25,5569.4697,6311.1919,61.96,36.06,0.00
26,5404.7959,6146.0503,61.90,36.42,0.00
27,5240.7407,5981.2300,61.84,36.77,0.00
28,5088.8452,5817.8223,61.92,37.13,0.00
29,4927.4893,5655.0439,61.89,37.49,0.00
30,4763.3364,5492.5454,61.83,37.85,0.00
31,4757.2681,5345.1807,61.75,38.21,0.00
32,4749.9614,5213.6963,61.66,38.57,0.00
33,4743.5728,5098.0469,61.58,38.93,0.00
34,4737.9863,4998.3467,61.51,39.29,0.00
35,4733.6396,4914.7642,61.46,39.65,0.00
36,4732.0278,4847.4873,61.44,40.01,0.00
37,4725.3066,4795.9429,61.36,40.37,0.00
38,4718.9663,4758.9551,61.28,40.73,0.00
39,4713.4053,4737.5474,61.21,41.09,0.00
40,4710.0649,4732.2202,61.16,41.45,0.00
41,4704.0811,4726.9014,61.09,41.81,0.00
42,4700.1611,4721.9214,61.04,42.17,0.00
43,4748.2764,4722.3916,61.64,42.53,0.00
44,4818.2520,4730.4180,62.52,42.90,0.00
45,4892.4688,4746.3008,63.45,43.27,0.00
46,4922.4800,4765.3467,63.82,43.65,0.00
47,4930.2993,4785.8452,63.92,44.03,0.00
48,4931.8271,4807.1318,63.94,44.41,0.00
49,4927.5356,4828.5449,63.88,44.79,0.00
50,4920.7676,4849.6147,63.80,45.18,0.00
51,4916.8052,4870.8877,63.75,45.56,0.00
52,4912.3613,4892.1069,63.69,45.94,0.00
53,4907.5366,4908.0332,63.63,46.32,0.00
54,4901.9526,4916.4033,63.56,46.70,0.00
55,4899.8076,4917.1377,63.54,47.08,0.00
56,4895.4678,4914.4365,63.48,47.46,0.00
57,4891.2173,4910.5283,63.43,47.84,0.00
58,4887.3159,4906.0771,63.38,48.22,0.00
59,4883.2295,4901.6465,63.33,48.60,0.00
60,4878.9326,4897.4634,63.28,48.98,0.00
61,4874.0942,4893.1919,63.22,49.36,0.00
62,4868.6387,4888.8193,63.15,49.74,0.00
63,4861.0791,4884.1733,63.06,50.12,0.00
64,4856.9468,4879.6729,63.00,50.50,0.00
65,4851.7979,4874.8721,62.94,50.88,0.00
66,4846.8403,4870.0088,62.88,51.26,0.00
67,4840.9141,4864.9785,62.80,51.64,0.00
68,4836.5786,4859.9053,62.75,52.02,0.00
69,4840.6743,4855.6499,62.80,52.40,0.00
70,4844.8608,4852.2422,62.85,52.78,0.00
71,4842.2646,4849.0596,62.82,53.17,0.00
72,4838.2295,4846.0186,62.77,53.55,0.00
73,4830.1353,4842.9243,62.67,53.93,0.00
74,4824.6133,4839.6909,62.60,54.31,0.00
75,4816.0288,4836.1143,62.49,54.69,0.00
76,4810.9868,4832.5288,62.43,55.07,0.00
77,4802.6782,4828.7056,62.33,55.45,0.00
78,4796.3462,4824.6821,62.25,55.83,0.00
79,4793.0986,4819.9248,62.21,56.20,0.00
80,4787.7329,4814.2119,62.14,56.58,0.00
81,4780.9092,4808.0762,62.05,56.96,0.00
82,4776.0781,4801.8608,61.99,57.34,0.00
