episode,total_reward,avg_reward,max_speed,distance_raced,damage
1,11172.0488,11172.0488,64.46,78.01,0.00
2,-108.1822,5531.9331,53.28,78.31,0.00
3,-108.6064,3651.7532,53.25,78.60,0.00
4,-108.4306,2711.7073,53.18,78.89,0.00
5,-108.6096,2147.6440,53.13,79.18,0.00
6,-108.9764,1771.5405,53.08,79.47,0.00
7,-108.6115,1502.9474,53.09,79.77,0.00
8,-108.7972,1301.4794,53.07,80.06,0.00
9,-108.6309,1144.8004,53.06,80.35,0.00
10,-108.5771,1019.4627,53.04,80.64,0.00
11,-108.5676,-108.5989,53.02,80.94,0.00
12,-108.7421,-108.6549,52.96,81.23,0.00
13,-109.2936,-108.7236,52.90,81.52,0.00
14,-109.2268,-108.8033,52.88,81.81,0.00
15,-109.2552,-108.8678,52.86,82.11,0.00
16,-109.1427,-108.8845,52.83,82.40,0.00
17,-109.2460,-108.9479,52.82,82.69,0.00
18,-109.2139,-108.9896,52.81,82.98,0.00
19,-109.0847,-109.0350,52.78,83.27,0.00
20,-109.5301,-109.1303,52.70,83.57,0.00
21,-109.4982,-109.2234,52.59,83.86,0.00
22,-109.8197,-109.3311,52.48,84.15,0.00
23,-110.1092,-109.4127,52.36,84.44,0.00
24,-110.0063,-109.4906,52.27,84.73,0.00
25,-109.9525,-109.5603,52.15,85.02,0.00
26,-109.8536,-109.6314,52.08,85.31,0.00
27,-110.2695,-109.7338,51.96,85.60,0.00
28,-110.2580,-109.8382,51.91,85.89,0.00
29,-110.3094,-109.9607,51.82,86.18,0.00
30,-110.3024,-110.0379,51.79,86.46,0.00
31,-110.3147,-110.1196,51.75,86.75,0.00
32,-110.2309,-110.1607,51.71,87.04,0.00
33,-110.4274,-110.1925,51.67,87.32,0.00
34,-110.4787,-110.2397,51.62,87.61,0.00
35,-110.2514,-110.2696,51.62,87.89,0.00
36,-110.4230,-110.3266,51.58,88.18,0.00
37,-110.4662,-110.3462,51.54,88.46,0.00
38,-110.0954,-110.3300,51.51,88.75,0.00
39,-110.5605,-110.3551,51.48,89.03,0.00
40,-110.5537,-110.3802,51.46,89.31,0.00
41,-110.0196,-110.3507,51.45,89.60,0.00
42,-110.3406,-110.3617,51.43,89.88,0.00
43,-110.0829,-110.3272,51.39,90.17,0.00
44,-110.3125,-110.3106,51.34,90.45,0.00
45,-110.3157,-110.3170,51.27,90.73,0.00
46,-110.0119,-110.2759,51.25,91.01,0.00
47,-110.2273,-110.2520,51.15,91.30,0.00
48,-110.8723,-110.3297,50.95,91.58,0.00
49,-110.8615,-110.3598,50.78,91.86,0.00
50,-110.9402,-110.3985,50.64,92.14,0.00
51,-110.9202,-110.4885,50.61,92.42,0.00
52,-111.0452,-110.5590,50.57,92.70,0.00
53,-110.7587,-110.6265,50.56,92.98,0.00
54,-110.3186,-110.6272,50.56,93.26,0.00
55,-109.9380,-110.5894,50.50,93.54,0.00
56,-110.0784,-110.5960,50.48,93.82,0.00
57,-110.3421,-110.6075,50.44,94.10,0.00
58,-110.7360,-110.5939,50.34,94.38,0.00
59,-110.7606,-110.5838,50.18,94.66,0.00
60,-111.3863,-110.6284,49.99,94.94,0.00
61,-13141.7148,-1413.7079,49.79,139.14,2148.00
62,-350.4952,-1437.6528,28.48,139.26,2148.00
63,-350.9757,-1461.6746,28.51,139.39,2148.00
64,-350.6882,-1485.7115,28.50,139.51,2148.00
65,-350.5113,-1509.7689,28.41,139.64,2148.00
66,-350.9534,-1533.8563,28.33,139.76,2148.00
67,-351.3643,-1557.9586,28.27,139.90,2148.00
68,-351.9904,-1582.0840,28.11,140.03,2148.00
69,-352.6253,-1606.2705,28.01,140.16,2148.00
70,-352.3457,-1630.3665,28.07,140.30,2148.00
71,-352.1128,-351.4062,28.07,140.43,2148.00
72,-352.1664,-351.5733,28.05,140.56,2148.00
73,-352.4260,-351.7184,28.00,140.69,2148.00
74,-352.4089,-351.8904,27.97,140.83,2148.00
75,-352.5428,-352.0936,27.96,140.96,2148.00
76,-352.6033,-352.2586,27.90,141.09,2148.00
77,-353.1073,-352.4329,27.86,141.22,2148.00
78,-352.9355,-352.5274,27.86,141.34,2148.00
79,-353.3304,-352.5979,27.82,141.47,2148.00
80,-354.0024,-352.7636,27.80,141.59,2148.00
81,-354.4403,-352.9963,27.77,141.72,2148.00
82,-354.7077,-353.2505,27.74,141.84,2148.00
83,-354.9576,-353.5036,27.69,141.96,2148.00
84,-355.2169,-353.7844,27.68,142.07,2148.00
85,-355.4366,-354.0738,27.64,142.19,2148.00
86,-355.4847,-354.3619,27.64,142.31,2148.00
87,-355.8119,-354.6324,27.65,142.43,2148.00
88,-355.9064,-354.9294,27.66,142.54,2148.00
89,-355.6423,-355.1606,27.68,142.66,2148.00
90,-355.6992,-355.3304,27.69,142.78,2148.00
91,-355.8753,-355.4738,27.69,142.90,2148.00
92,-355.6354,-355.5666,27.71,143.02,2148.00
93,-356.2966,-355.7005,27.66,143.14,2148.00
94,-356.6763,-355.8465,27.54,143.26,2148.00
95,-357.3933,-356.0421,27.45,143.39,2148.00
96,-357.1518,-356.2089,27.48,143.51,2148.00
97,-357.1698,-356.3446,27.48,143.64,2148.00
98,-357.4524,-356.4992,27.46,143.76,2148.00
99,-357.1510,-356.6501,27.46,143.88,2148.00
100,-357.7320,-356.8534,27.38,144.01,2148.00
101,-358.2216,-357.0880,27.23,144.12,2148.00
102,-359.0333,-357.4278,27.02,144.24,2148.00
103,-359.5209,-357.7502,26.86,144.35,2148.00
104,-359.5899,-358.0416,26.97,144.46,2148.00
105,-359.3881,-358.2411,27.00,144.57,2148.00
106,-358.9880,-358.4247,26.94,144.68,2148.00
107,-359.3033,-358.6381,26.89,144.80,2148.00
108,-359.6562,-358.8585,26.87,144.92,2148.00
109,-359.6131,-359.1047,26.86,145.03,2148.00
110,-359.8524,-359.3167,26.84,145.15,2148.00
111,-359.9529,-359.4898,26.83,145.26,2148.00
112,-360.6411,-359.6506,26.77,145.38,2148.00
113,-361.1491,-359.8134,26.64,145.49,2148.00
114,-361.5181,-360.0062,26.63,145.60,2148.00
115,-361.4130,-360.2087,26.64,145.71,2148.00
116,-361.1205,-360.4220,26.59,145.82,2148.00
117,-361.3724,-360.6289,26.58,145.93,2148.00
118,-361.5788,-360.8211,26.56,146.05,2148.00
119,-362.2036,-361.0802,26.51,146.16,2148.00
120,-361.9973,-361.2947,26.51,146.28,2148.00
121,-362.3715,-361.5366,26.45,146.39,2148.00
122,-362.8668,-361.7591,26.41,146.50,2148.00
123,-363.1194,-361.9561,26.38,146.61,2148.00
124,-363.2169,-362.1260,26.36,146.72,2148.00
125,-363.4763,-362.3323,26.33,146.83,2148.00
126,-364.1093,-362.6312,26.22,146.93,2148.00
127,-364.9626,-362.9903,26.10,147.04,2148.00
128,-365.3345,-363.3658,25.98,147.13,2148.00
129,-365.5907,-363.7045,26.01,147.23,2148.00
130,-365.3098,-364.0358,26.07,147.33,2148.00
131,-365.3008,-364.3287,26.07,147.43,2148.00
132,-365.9686,-364.6389,25.99,147.53,2148.00
133,-365.7542,-364.9024,26.02,147.62,2148.00
134,-365.7311,-365.1537,26.01,147.72,2148.00
135,-365.7066,-365.3768,26.04,147.83,2148.00
136,-365.8241,-365.5483,26.01,147.93,2148.00
137,-366.3402,-365.6861,25.98,148.03,2148.00
138,-367.0713,-365.8598,25.89,148.13,2148.00
139,-367.3956,-366.0402,25.85,148.22,2148.00
140,-367.8983,-366.2990,25.82,148.32,2148.00
141,-368.0569,-366.5746,25.83,148.41,2148.00
142,-367.8691,-366.7647,25.86,148.50,2148.00
143,-368.1524,-367.0045,25.84,148.60,2148.00
144,-368.6046,-367.2919,25.28,148.69,2148.00
145,-368.7806,-367.5993,25.24,148.78,2148.00
146,-369.2411,-367.9410,25.21,148.88,2148.00
147,-369.3616,-368.2431,25.17,148.97,2148.00
148,-369.9400,-368.5300,25.10,149.06,2148.00
149,-370.0286,-368.7933,25.10,149.15,2148.00
150,-369.9044,-368.9940,25.14,149.24,2148.00
151,-393.9392,-371.5822,10.55,149.33,2184.00
152,-394.4070,-374.2360,9.76,149.41,2184.00
153,-394.7083,-376.8915,9.08,149.49,2184.00
154,-394.8658,-379.5176,8.36,149.56,2184.00
155,-395.0015,-382.1397,7.62,149.63,2184.00
156,-395.1340,-384.7290,6.88,149.69,2184.00
157,-395.6031,-387.3532,6.13,149.74,2184.00
158,-395.9681,-389.9560,5.37,149.79,2184.00
159,-396.5346,-392.6066,4.65,149.83,2184.00
160,-406.5239,-396.2686,3.94,149.86,2184.00
161,-406.9767,-397.5723,3.18,149.89,2184.00
162,-407.2300,-398.8546,2.38,149.91,2184.00
163,-407.6186,-400.1456,1.56,149.93,2184.00
164,-408.2000,-401.4791,0.85,149.93,2184.00
165,-407.9885,-402.7778,0.51,149.94,2184.00
166,-408.4351,-404.1078,0.28,149.94,2184.00
167,-408.1546,-405.3630,0.28,149.94,2184.00
168,-408.2793,-406.5941,0.06,149.94,2184.00
169,-408.5997,-407.8006,0.10,149.94,2184.00
170,-408.4422,-407.9925,0.00,149.95,2184.00
171,-408.3456,-408.1293,0.07,149.95,2184.00
172,-408.6198,-408.2683,0.00,149.95,2184.00
173,-408.4246,-408.3489,0.00,149.95,2184.00
174,-408.4270,-408.3716,0.02,149.95,2184.00
175,-408.4257,-408.4153,0.12,149.95,2184.00
176,-408.7430,-408.4461,0.00,149.95,2184.00
177,-408.4852,-408.4792,0.00,149.95,2184.00
178,-408.4846,-408.4998,0.03,149.95,2184.00
179,-408.7565,-408.5154,0.00,149.94,2184.00
180,-408.6199,-408.5332,0.00,149.94,2184.00
181,-408.5027,-408.5489,0.00,149.94,2184.00
182,-408.6757,-408.5545,0.00,149.94,2184.00
183,-408.3780,-408.5499,0.00,149.94,2184.00
184,-408.8120,-408.5883,0.00,149.94,2184.00
185,-408.3827,-408.5840,0.00,149.94,2184.00
186,-408.7764,-408.5873,0.00,149.94,2184.00
187,-408.8193,-408.6208,0.00,149.94,2184.00
188,-408.6497,-408.6373,0.00,149.94,2184.00
189,-408.3333,-408.5949,0.00,149.94,2184.00
190,-408.5871,-408.5917,0.00,149.94,2184.00
191,-408.7052,-408.6119,0.00,149.94,2184.00
192,-408.4427,-408.5887,0.00,149.94,2184.00
193,-408.3272,-408.5836,0.00,149.94,2184.00
194,-408.6798,-408.5704,0.00,149.94,2184.00
195,-408.5389,-408.5859,0.00,149.94,2184.00
196,-408.4893,-408.5572,0.00,149.94,2184.00
197,-408.3441,-408.5097,0.00,149.94,2184.00
198,-408.4743,-408.4922,0.00,149.94,2184.00
199,-408.4587,-408.5048,0.00,149.94,2184.00
200,-408.3817,-408.4842,0.00,149.94,2184.00
201,-408.3535,-408.4491,0.00,149.93,2184.00
202,-408.7050,-408.4753,0.00,149.93,2184.00
203,-408.4207,-408.4846,0.00,149.93,2184.00
204,-408.1578,-408.4324,0.12,149.93,2184.00
205,-408.3850,-408.4170,0.00,149.93,2184.00
206,-408.8116,-408.4492,0.00,149.93,2184.00
207,-408.5801,-408.4728,0.00,149.93,2184.00
208,-408.3478,-408.4601,0.00,149.93,2184.00
209,-408.4149,-408.4558,0.00,149.93,2184.00
210,-408.6111,-408.4787,0.00,149.93,2184.00
211,-408.7519,-408.5186,0.00,149.93,2184.00
212,-408.6283,-408.5110,0.00,149.93,2184.00
213,-408.6481,-408.5337,0.00,149.93,2184.00
214,-408.5016,-408.5681,0.00,149.93,2184.00
215,-408.6660,-408.5961,0.00,149.93,2184.00
216,-408.4659,-408.5616,0.00,149.93,2184.00
217,-408.4644,-408.5500,0.01,149.93,2184.00
218,-408.5405,-408.5693,0.01,149.93,2184.00
219,-408.1543,-408.5432,0.31,149.93,2184.00
220,-408.3051,-408.5126,0.17,149.93,2184.00
221,-408.4264,-408.4801,0.04,149.93,2184.00
222,-408.5544,-408.4727,0.05,149.93,2184.00
