episode,total_reward,avg_reward,max_speed,distance_raced,damage
1,2070854.7500,2070854.7500,84.42,77.33,0.00
2,12647.2568,1041751.0000,84.05,77.82,0.00
3,12425.2441,698642.4375,84.02,78.31,0.00
4,12201.2979,527032.1250,83.99,78.80,0.00
5,11977.7539,424021.2500,83.95,79.29,0.00
6,11750.1660,355309.4062,83.88,79.78,0.00
7,11519.4150,306196.5625,83.79,80.27,0.00
8,11294.9346,269333.8750,83.74,80.76,0.00
9,11068.4346,240637.7188,83.67,81.24,0.00
10,10842.1035,217658.1562,83.60,81.73,0.00
11,10614.8701,11634.1475,83.52,82.22,0.00
12,10389.0410,11408.3262,83.45,82.71,0.00
13,10163.9297,11182.1934,83.38,83.19,0.00
14,9939.7148,10956.0361,83.31,83.68,0.00
15,9714.3750,10729.6982,83.24,84.17,0.00
16,9488.8262,10503.5654,83.15,84.65,0.00
17,9275.4043,10279.1641,83.17,85.14,0.00
18,9111.1064,10060.7812,83.63,85.62,0.00
19,8943.1279,9848.2500,84.08,86.11,0.00
20,8771.3184,9641.1719,84.52,86.61,0.00
21,8606.8252,9440.3682,85.04,87.10,0.00
22,8399.7949,9241.4434,85.18,87.60,0.00
23,8183.5552,9043.4053,85.23,88.10,0.00
24,7966.1787,8846.0508,85.27,88.60,0.00
25,7737.8789,8648.4014,85.19,89.10,0.00
26,7509.0049,8450.4199,85.11,89.60,0.00
27,7281.7251,8251.0518,85.03,90.11,0.00
28,7054.7759,8045.4180,84.96,90.61,0.00
29,6825.4814,7833.6548,84.85,91.11,0.00
30,6599.2456,7616.4468,84.78,91.61,0.00
31,6593.1919,7415.0835,84.70,92.10,0.00
32,6584.5522,7233.5596,84.60,92.60,0.00
33,6578.0317,7073.0063,84.51,93.10,0.00
34,6571.8999,6933.5791,84.44,93.59,0.00
35,6564.7920,6816.2695,84.35,94.08,0.00
36,6558.3325,6721.2031,84.27,94.58,0.00
37,6548.0879,6647.8389,84.14,95.07,0.00
38,6541.8315,6596.5444,84.06,95.56,0.00
39,6569.6655,6570.9634,84.41,96.06,0.00
40,6572.5894,6568.2979,84.45,96.55,0.00
41,6564.3862,6565.4165,84.35,97.05,0.00
42,6558.6738,6562.8291,84.27,97.54,0.00
43,6550.4912,6560.0752,84.17,98.04,0.00
44,6544.4595,6557.3311,84.10,98.53,0.00
45,6536.5796,6554.5103,84.00,99.03,0.00
46,6530.4780,6551.7241,83.92,99.52,0.00
47,6524.9702,6549.4126,83.85,100.01,0.00
48,6516.9937,6546.9282,83.76,100.51,0.00
49,6510.8804,6541.0498,83.68,101.00,0.00
50,6504.4150,6534.2319,83.60,101.50,0.00
51,6499.2930,6527.7231,83.53,101.99,0.00
52,6493.7764,6521.2334,83.47,102.48,0.00
53,6487.7642,6514.9614,83.39,102.97,0.00
54,6506.9668,6511.2119,83.63,103.47,0.00
55,6539.7930,6511.5332,84.04,103.96,0.00
56,6567.6172,6515.2471,84.39,104.46,0.00
57,6586.4907,6521.3994,84.63,104.96,0.00
58,6591.2432,6528.8237,84.69,105.46,0.00
59,6631.2036,6540.8564,85.19,105.96,0.00
60,6678.8105,6558.2959,85.78,106.46,0.00
61,6702.2637,6578.5928,86.07,106.97,0.00
62,6708.2856,6600.0444,86.15,107.48,0.00
63,6701.6489,6621.4326,86.07,107.98,0.00
64,6695.0781,6640.2437,85.98,108.49,0.00
65,6688.4951,6655.1143,85.90,109.00,0.00
66,6679.9990,6666.3516,85.80,109.51,0.00
67,6673.7793,6675.0811,85.72,110.01,0.00
68,6666.9644,6682.6523,85.63,110.52,0.00
69,6656.7070,6685.2031,85.51,111.03,0.00
70,6647.5718,6682.0791,85.39,111.53,0.00
71,6640.0098,6675.8540,85.30,112.04,0.00
72,6634.9746,6668.5225,85.24,112.55,0.00
73,6627.7593,6661.1338,85.15,113.06,0.00
74,6622.3477,6653.8608,85.08,113.57,0.00
75,6616.5835,6646.6694,85.01,114.07,0.00
76,6638.2510,6642.4946,85.28,114.58,0.00
77,6646.3130,6639.7476,85.38,115.10,0.00
78,6639.4658,6636.9985,85.29,115.61,0.00
79,6633.0762,6634.6353,85.21,116.12,0.00
80,6627.1699,6632.5952,85.14,116.63,0.00
81,6621.8252,6630.7773,85.07,117.14,0.00
82,6614.9980,6628.7788,84.99,117.65,0.00
83,6608.3623,6626.8389,84.90,118.16,0.00
84,6600.7485,6624.6787,84.81,118.67,0.00
85,6594.6816,6622.4897,84.73,119.18,0.00
86,6588.7964,6617.5444,84.66,119.69,0.00
87,6582.7686,6611.1890,84.59,120.20,0.00
88,6576.1743,6604.8604,84.50,120.71,0.00
89,6569.7529,6598.5283,84.42,121.21,0.00
90,6563.4746,6592.1587,84.34,121.72,0.00
91,6592.7852,6589.2549,84.71,122.23,0.00
92,6600.5425,6587.8096,84.81,122.74,0.00
93,6624.1382,6589.3867,85.10,123.25,0.00
94,6664.4150,6595.7529,85.61,123.77,0.00
95,6708.2031,6607.1045,86.15,124.28,0.00
96,6752.0264,6623.4272,86.70,124.80,0.00
97,6776.1177,6642.7632,87.00,125.33,0.00
98,6804.4565,6665.5908,87.36,125.85,0.00
99,6810.6455,6689.6807,87.44,126.38,0.00
100,6805.3521,6713.8687,87.37,126.91,0.00
101,6800.0537,6734.5947,87.30,127.44,0.00
102,6794.6562,6754.0063,87.24,127.96,0.00
103,6789.3721,6770.5298,87.17,128.49,0.00
104,6784.0859,6782.4971,87.10,129.01,0.00
105,6777.8936,6789.4658,87.03,129.54,0.00
106,6769.2632,6791.1899,86.92,130.06,0.00
107,6762.9136,6789.8687,86.84,130.59,0.00
108,6756.1328,6785.0366,86.76,131.12,0.00
109,6750.8745,6779.0596,86.69,131.64,0.00
110,6745.1724,6773.0420,86.62,132.16,0.00
111,6737.8169,6766.8179,86.53,132.69,0.00
112,6730.9121,6760.4438,86.44,133.21,0.00
113,6756.0205,6757.1084,86.75,133.73,0.00
114,6761.8687,6754.8867,86.83,134.26,0.00
115,6612.7261,6738.3696,84.98,134.74,0.00
116,6603.9561,6721.8389,84.87,135.21,0.00
117,6588.7192,6704.4194,84.68,135.69,0.00
118,6570.8120,6685.8877,84.45,136.16,0.00
119,6567.9468,6667.5952,84.42,136.63,0.00
120,6560.1152,6649.0889,84.32,137.10,0.00
121,6543.5122,6629.6592,84.11,137.57,0.00
122,6526.2271,6609.1904,83.89,138.04,0.00
123,6514.0244,6584.9907,83.74,138.51,0.00
124,6498.8589,6558.6890,83.55,138.98,0.00
125,6482.4722,6545.6646,83.34,139.44,0.00
126,6473.1738,6532.5859,83.23,139.91,0.00
127,6464.6729,6520.1812,83.12,140.37,0.00
